"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"PAYMILL GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"25.03.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"ea4f25085143f9ff";"56504";"Wed Jul  8 23:34:05 2020"
"PAYMILL GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"04.04.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"c943f05948844a40";"56504";"Wed Jul  8 23:34:05 2020"
"PAYMILL GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 15.06.2016 bis zum 31.12.2016";"10.09.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"8ea8369617c23cdb";"56504";"Wed Jul  8 23:34:05 2020"
"ZM Abwicklungsgesellschaft mbH (vormals: Paymill GmbH) München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"10.11.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"a8ffee9dd7cbe724";"56504";"Wed Jul  8 23:34:05 2020"
"Paymill Holding GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"30.03.2016";"92%";"0d747c0b2dd5781887ce3d83356491d9";"0020bc5accd89de3";"56504";"Wed Jul  8 23:34:05 2020"
"Paymill Plus GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"10.02.2016";"92%";"0d747c0b2dd5781887ce3d83356491d9";"cfa9e724af4676d8";"56504";"Wed Jul  8 23:34:05 2020"
"Paymill GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"28.01.2016";"92%";"0d747c0b2dd5781887ce3d83356491d9";"14bf37dc80fcf659";"56504";"Wed Jul  8 23:34:05 2020"
"Paymill GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"19.01.2015";"92%";"0d747c0b2dd5781887ce3d83356491d9";"10d5954b32ebe825";"56504";"Wed Jul  8 23:34:05 2020"
"Paymill Holding GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"14.01.2015";"92%";"0d747c0b2dd5781887ce3d83356491d9";"78caf4fbb17df6bf";"56504";"Wed Jul  8 23:34:05 2020"
"Paymill Plus GmbH (vormals: Omba GmbH) München (vormals: Köln)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"16.07.2014";"92%";"0d747c0b2dd5781887ce3d83356491d9";"3e6569f70ebb4e18";"56504";"Wed Jul  8 23:34:05 2020"
"Paymill GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 26.04.2012 bis zum 31.12.2012";"20.02.2014";"92%";"0d747c0b2dd5781887ce3d83356491d9";"18b2ac6ddc9559b6";"56504";"Wed Jul  8 23:34:05 2020"
"Paymill Holding GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 26.04.2012 bis zum 31.12.2012";"11.12.2013";"92%";"0d747c0b2dd5781887ce3d83356491d9";"36fd5ffff7bcd05e";"56504";"Wed Jul  8 23:34:05 2020"
