"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"PDV-Systeme GmbH Goslar";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.03.2018 bis zum 28.02.2019";"03.04.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"99bc57ffa78b7bb4";"46150";"Wed Jul  8 23:44:47 2020"
"pdv-systeme Sachsen GmbH Dresden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.03.2018 bis zum 28.02.2019";"11.03.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"df7aa2bd9940647c";"46150";"Wed Jul  8 23:44:47 2020"
"pdv-systeme Sachsen GmbH Dresden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.03.2017 bis zum 28.02.2018 Ergänzung der Veröffentlichung vom 08.03.2019";"07.08.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"5e7d411b9843321c";"46150";"Wed Jul  8 23:44:47 2020"
"PDV GmbH (vormals: PDV-Systeme GmbH) Erfurt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.10.2017 bis zum 30.09.2018";"24.07.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"304fccfbc26ee81d";"46150";"Wed Jul  8 23:44:47 2020"
"pdv-systeme Sachsen GmbH Dresden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.03.2017 bis zum 28.02.2018 Ergänzt am 07.08.2019";"08.03.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"4cda8d77b83d1102";"46150";"Wed Jul  8 23:44:47 2020"
"PDV-Systeme GmbH Goslar";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.03.2017 bis zum 28.02.2018";"14.01.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"885bb86d712c00fa";"46150";"Wed Jul  8 23:44:47 2020"
"PDV-Systeme GmbH Erfurt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.10.2016 bis zum 30.09.2017";"06.08.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"e66514efce0f6542";"46150";"Wed Jul  8 23:44:47 2020"
"PDV-Systeme GmbH Goslar";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.03.2016 bis zum 28.02.2017";"19.03.2018";"95%";"0d747c0b2dd5781887ce3d83356491d9";"74526640a336f96b";"46150";"Wed Jul  8 23:44:47 2020"
"pdv-systeme Sachsen GmbH Dresden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.03.2016 bis zum 28.02.2017";"13.03.2018";"95%";"0d747c0b2dd5781887ce3d83356491d9";"4dec9f35166590f2";"46150";"Wed Jul  8 23:44:47 2020"
"PDV-Systeme GmbH Erfurt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.10.2015 bis zum 30.09.2016 Ergänzung der Veröffentlichung vom 18.09.2017";"11.10.2017";"95%";"0d747c0b2dd5781887ce3d83356491d9";"7deea83a830440c3";"46150";"Wed Jul  8 23:44:47 2020"
