"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"PLANAT GmbH Ostfildern";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"09.04.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"1e1ae7c7a24cd280";"72260";"Wed Jul  8 22:23:31 2020"
"PLANAT GmbH Ostfildern";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"19.03.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"1d39b50e09a23a56";"72260";"Wed Jul  8 22:23:31 2020"
"PLANAT GmbH Ostfildern";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"09.03.2018";"92%";"0d747c0b2dd5781887ce3d83356491d9";"8bbf9de04d97dd7e";"72260";"Wed Jul  8 22:23:31 2020"
"PLANAT GmbH Ostfildern";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"09.03.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"a1d459a9b5ed45db";"72260";"Wed Jul  8 22:23:31 2020"
"PLANAT GmbH Ostfildern";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"16.03.2016";"92%";"0d747c0b2dd5781887ce3d83356491d9";"0839d0baeb9af976";"72260";"Wed Jul  8 22:23:31 2020"
"PLANAT GmbH Ostfildern";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"09.03.2015";"92%";"0d747c0b2dd5781887ce3d83356491d9";"d2d74dc1fd53911c";"72260";"Wed Jul  8 22:23:31 2020"
"PLANAT GmbH Ostfildern";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"12.03.2014";"92%";"0d747c0b2dd5781887ce3d83356491d9";"2f2771fba1663ac3";"72260";"Wed Jul  8 22:23:31 2020"
"PLANAT GmbH Ostfildern";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"25.02.2013";"92%";"0d747c0b2dd5781887ce3d83356491d9";"446178fc6d3df1ea";"72260";"Wed Jul  8 22:23:31 2020"
"planat.tv GmbH & Co. KG Luckaitztal (vormals: Linnich)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"13.02.2013";"92%";"0d747c0b2dd5781887ce3d83356491d9";"963f8030e8cb82a0";"72260";"Wed Jul  8 22:23:31 2020"
"PLANAT GmbH Ostfildern";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"20.02.2012";"92%";"0d747c0b2dd5781887ce3d83356491d9";"e44dadb19e70cf0d";"72260";"Wed Jul  8 22:23:31 2020"
"planat.tv GmbH & Co. KG Linnich";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"16.01.2012";"92%";"0d747c0b2dd5781887ce3d83356491d9";"64c74f079482134c";"72260";"Wed Jul  8 22:23:31 2020"
"PLANAT GmbH Ostfildern";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"25.02.2011";"92%";"0d747c0b2dd5781887ce3d83356491d9";"b93efb28dc03b208";"72260";"Wed Jul  8 22:23:31 2020"
"planat.tv GmbH & Co. KG Linnich";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"11.01.2011";"92%";"0d747c0b2dd5781887ce3d83356491d9";"26aca31c125e9724";"72260";"Wed Jul  8 22:23:31 2020"
"PLANAT GmbH Ostfildern";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"12.02.2010";"92%";"0d747c0b2dd5781887ce3d83356491d9";"cb68984108e72068";"72260";"Wed Jul  8 22:23:31 2020"
"planat.tv GmbH & Co. KG Linnich";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"21.01.2010";"92%";"0d747c0b2dd5781887ce3d83356491d9";"e3336b66f117cdc1";"72260";"Wed Jul  8 22:23:31 2020"
"PLANAT GmbH Ostfildern";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"05.03.2009";"92%";"0d747c0b2dd5781887ce3d83356491d9";"6240bcdfc00ee32f";"72260";"Wed Jul  8 22:23:31 2020"
"planat.tv GmbH & Co. KG Linnich";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"11.02.2009";"92%";"0d747c0b2dd5781887ce3d83356491d9";"6db3e084a35fd53e";"72260";"Wed Jul  8 22:23:31 2020"
"PLANAT GmbH Ostfildern";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2007";"27.02.2008";"92%";"0d747c0b2dd5781887ce3d83356491d9";"738ed845bca4a082";"72260";"Wed Jul  8 22:23:31 2020"
"PLANAT GmbH Ostfildern-Kemnat";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"04.12.2007";"92%";"0d747c0b2dd5781887ce3d83356491d9";"fadfa3ce8356fbc9";"72260";"Wed Jul  8 22:23:31 2020"
