"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Prime Hotelservice International GmbH Aschaffenburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"09.12.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"c41be007af01a8b7";"29036";"Wed Jul  8 23:08:28 2020"
"Prime Hotelservice International GmbH Aschaffenburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"26.08.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"bc4a34502967c023";"29036";"Wed Jul  8 23:08:28 2020"
"Prime Hotelservice International GmbH Aschaffenburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"26.08.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"798f377c6c80e748";"29036";"Wed Jul  8 23:08:28 2020"
"Prime Hotelservice International GmbH Aschaffenburg";"Rechnungslegung/ Finanzberichte";"» Insolvenzeröffnungsbilanz zum 14.08.2015";"26.08.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"d475271fb036deec";"29036";"Wed Jul  8 23:08:28 2020"
"Prime Hotelservice International GmbH  Aschaffenburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 13.08.2015";"23.08.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"883dd5f3055d426c";"29036";"Wed Jul  8 23:08:28 2020"
"Prime Hotelservice International GmbH Aschaffenburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 14.08.2015 bis zum 31.12.2015";"23.08.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"6bbe62f9ceca0f71";"29036";"Wed Jul  8 23:08:28 2020"
"Prime Hotelservice International GmbH Aschaffenburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"18.02.2016";"97%";"0d747c0b2dd5781887ce3d83356491d9";"8998468f600d4278";"29036";"Wed Jul  8 23:08:28 2020"
"Prime Hotelservice International GmbH Aschaffenburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"20.04.2015";"97%";"0d747c0b2dd5781887ce3d83356491d9";"dbcbac3ad36c77f6";"29036";"Wed Jul  8 23:08:28 2020"
"Prime Hotelservice International GmbH Aschaffenburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"25.02.2014";"97%";"0d747c0b2dd5781887ce3d83356491d9";"b4085a6b8dcab990";"29036";"Wed Jul  8 23:08:28 2020"
"Prime Hotelservice International GmbH Aschaffenburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"02.05.2013";"97%";"0d747c0b2dd5781887ce3d83356491d9";"1fa6a2ad10305c82";"29036";"Wed Jul  8 23:08:28 2020"
"Prime Hotelservice International GmbH Aschaffenburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"29.02.2012";"97%";"0d747c0b2dd5781887ce3d83356491d9";"b8d7df39078decbf";"29036";"Wed Jul  8 23:08:28 2020"
"Prime Hotelservice International GmbH Aschaffenburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"21.01.2011";"97%";"0d747c0b2dd5781887ce3d83356491d9";"cdd32e94ba8de549";"29036";"Wed Jul  8 23:08:28 2020"
"Prime Hotelservice International GmbH Aschaffenburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"31.12.2009";"97%";"0d747c0b2dd5781887ce3d83356491d9";"cbdb29a93a798d62";"29036";"Wed Jul  8 23:08:28 2020"
"Prime Hotelservice International GmbH Aschaffenburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2007";"31.12.2008";"97%";"0d747c0b2dd5781887ce3d83356491d9";"42d4328b13eaf987";"29036";"Wed Jul  8 23:08:28 2020"
