"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"PROLAN Datensysteme GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"20.12.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"0cd35dc67d569af2";"94985";"Wed Jul  8 23:45:35 2020"
"PROLAN Datensysteme GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"02.08.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"9170481c91097016";"94985";"Wed Jul  8 23:45:35 2020"
"PROLAN Datensysteme GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"27.07.2017";"95%";"0d747c0b2dd5781887ce3d83356491d9";"fec4b44ad496ba2c";"94985";"Wed Jul  8 23:45:35 2020"
"PROLAN Datensysteme GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"06.01.2017";"95%";"0d747c0b2dd5781887ce3d83356491d9";"288bb48b94292ba9";"94985";"Wed Jul  8 23:45:35 2020"
"PROLAN Datensysteme GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"14.01.2016";"95%";"0d747c0b2dd5781887ce3d83356491d9";"905d916a6e2a888b";"94985";"Wed Jul  8 23:45:35 2020"
"PROLAN Datensysteme GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"18.12.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"1da56c96bf7efff2";"94985";"Wed Jul  8 23:45:35 2020"
"PROLAN Datensysteme GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"26.08.2013";"95%";"0d747c0b2dd5781887ce3d83356491d9";"37b296827a7d59c9";"94985";"Wed Jul  8 23:45:35 2020"
"PROLAN Datensysteme GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"29.08.2012";"95%";"0d747c0b2dd5781887ce3d83356491d9";"a08e58e41a785054";"94985";"Wed Jul  8 23:45:35 2020"
"PROLAN Datensysteme GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"15.11.2011";"95%";"0d747c0b2dd5781887ce3d83356491d9";"8a860255824f8471";"94985";"Wed Jul  8 23:45:35 2020"
"PROLAN Datensysteme GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"10.08.2010";"95%";"0d747c0b2dd5781887ce3d83356491d9";"a9bcec40048ed8ab";"94985";"Wed Jul  8 23:45:35 2020"
"PROLAN Datensysteme GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"05.06.2009";"95%";"0d747c0b2dd5781887ce3d83356491d9";"5cc76ba3f1553f5c";"94985";"Wed Jul  8 23:45:35 2020"
"PROLAN Datensysteme GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2007";"11.08.2008";"95%";"0d747c0b2dd5781887ce3d83356491d9";"28aae89e55a3f298";"94985";"Wed Jul  8 23:45:35 2020"
"PROLAN Datensysteme GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"20.12.2007";"95%";"0d747c0b2dd5781887ce3d83356491d9";"0ddb8c32d4f6e8b0";"94985";"Wed Jul  8 23:45:35 2020"
