"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"PROMOS consult Projektmanagement,  Organisation und Service GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"14.01.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"6c7627870e039b85";"83424";"Wed Jul  8 23:43:30 2020"
"PROMOS consult Projektmanagement,  Organisation und Service GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"21.02.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"4d5de2dfa7002b2c";"83424";"Wed Jul  8 23:43:30 2020"
"PROMOS consult Projektmanagement,  Organisation und Service GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"11.12.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"c4f7fe1262784ee6";"83424";"Wed Jul  8 23:43:30 2020"
"PROMOS consult Projektmanagement,  Organisation und Service GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"24.01.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"6fe5cc39622cc7c5";"83424";"Wed Jul  8 23:43:30 2020"
"PROMOS consult Projektmanagement,  Organisation und Service GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"18.03.2016";"92%";"0d747c0b2dd5781887ce3d83356491d9";"72fc6cab31089f05";"83424";"Wed Jul  8 23:43:30 2020"
"PROMOS consult Projektmanagement,  Organisation und Service GmbH & Co. KG Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"20.01.2016";"92%";"0d747c0b2dd5781887ce3d83356491d9";"d8a0dfadf0322cc8";"83424";"Wed Jul  8 23:43:30 2020"
"PROMOS consult Projektmanagement,  Organisation und Service GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"02.03.2015";"92%";"0d747c0b2dd5781887ce3d83356491d9";"ae322e7f41b6e06e";"83424";"Wed Jul  8 23:43:30 2020"
"PROMOS consult Projektmanagement,  Organisation und Service GmbH & Co. KG Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"17.12.2014";"92%";"0d747c0b2dd5781887ce3d83356491d9";"06f1ec5209d858ee";"83424";"Wed Jul  8 23:43:30 2020"
"PROMOS consult Projektmanagement,  Organisation und Service GmbH & Co. KG Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"20.12.2013";"92%";"0d747c0b2dd5781887ce3d83356491d9";"3b58b9e841286c0a";"83424";"Wed Jul  8 23:43:30 2020"
"PROMOS consult Projektmanagement,  Organisation und Service GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"05.12.2013";"92%";"0d747c0b2dd5781887ce3d83356491d9";"278a4bdc64805e54";"83424";"Wed Jul  8 23:43:30 2020"
