"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"ProServ Systemberatung GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"19.06.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"daa695bd6c510bf6";"00027";"Wed Jul  8 23:54:53 2020"
"ProServ Systemberatung GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017 Ergänzung der Veröffentlichung vom 04.05.2018";"23.03.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"fb09f2be9ec7baa3";"00027";"Wed Jul  8 23:54:53 2020"
"ProServ Systemberatung GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"24.09.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"0e641c8bab319182";"00027";"Wed Jul  8 23:54:53 2020"
"ProServ Systemberatung GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017 Ergänzt am 23.03.2020";"04.05.2018";"95%";"0d747c0b2dd5781887ce3d83356491d9";"a42f31fef75f3cc4";"00027";"Wed Jul  8 23:54:53 2020"
"ProServ Systemberatung GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"16.05.2017";"95%";"0d747c0b2dd5781887ce3d83356491d9";"c88f73e99cfe34e2";"00027";"Wed Jul  8 23:54:53 2020"
"ProServ Systemberatung GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"01.06.2016";"95%";"0d747c0b2dd5781887ce3d83356491d9";"66708c1690da3f1c";"00027";"Wed Jul  8 23:54:53 2020"
"ProServ Systemberatung GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"06.10.2015";"95%";"0d747c0b2dd5781887ce3d83356491d9";"4a4a51ff885283cc";"00027";"Wed Jul  8 23:54:53 2020"
"ProServ Systemberatung GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"25.03.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"94beb5d56282c486";"00027";"Wed Jul  8 23:54:53 2020"
"ProServ Systemberatung GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"13.05.2013";"95%";"0d747c0b2dd5781887ce3d83356491d9";"cc8b0ece158f5431";"00027";"Wed Jul  8 23:54:53 2020"
"ProServ Systemberatung GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010 Berichtigung der Veröffentlichung vom 06.07.2011";"08.06.2012";"95%";"0d747c0b2dd5781887ce3d83356491d9";"03f0527a81b8592a";"00027";"Wed Jul  8 23:54:53 2020"
"ProServ Systemberatung GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"08.06.2012";"95%";"0d747c0b2dd5781887ce3d83356491d9";"a17683349397daab";"00027";"Wed Jul  8 23:54:53 2020"
"ProServ Systemberatung GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010 Berichtigt am 08.06.2012";"06.07.2011";"95%";"0d747c0b2dd5781887ce3d83356491d9";"cd0c42df912801ed";"00027";"Wed Jul  8 23:54:53 2020"
"ProServ Systemberatung GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"29.11.2010";"95%";"0d747c0b2dd5781887ce3d83356491d9";"9831054295ecdd5a";"00027";"Wed Jul  8 23:54:53 2020"
"ProServ Systemberatung GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"01.02.2010";"95%";"0d747c0b2dd5781887ce3d83356491d9";"513726f17903bd5b";"00027";"Wed Jul  8 23:54:53 2020"
"ProServ Systemberatung GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"02.03.2009";"95%";"0d747c0b2dd5781887ce3d83356491d9";"a4c45dd7c3206e22";"00027";"Wed Jul  8 23:54:53 2020"
"ProServ Systemberatung GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"08.05.2008";"95%";"0d747c0b2dd5781887ce3d83356491d9";"7daf79a2571708c4";"00027";"Wed Jul  8 23:54:53 2020"
