"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Profi Unternehmensberatungs- und Verwaltungs GmbH Gotha";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"11.02.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"ed5a321ebb6aec08";"56660";"Wed Jul  8 22:25:38 2020"
"Profi Unternehmensberatungs- und Verwaltungs GmbH Gotha";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"16.01.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"7144953a46a54092";"56660";"Wed Jul  8 22:25:38 2020"
"Profi Unternehmensberatungs- und Verwaltungs GmbH Gotha";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"22.12.2017";"95%";"0d747c0b2dd5781887ce3d83356491d9";"14c61b26b62e80c2";"56660";"Wed Jul  8 22:25:38 2020"
"Profi Unternehmensberatungs- und Verwaltungs GmbH Gotha";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"29.12.2016";"95%";"0d747c0b2dd5781887ce3d83356491d9";"f840cdcc18b5d9e6";"56660";"Wed Jul  8 22:25:38 2020"
"Profi Unternehmensberatungs- und Verwaltungs GmbH Gotha";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"23.02.2016";"95%";"0d747c0b2dd5781887ce3d83356491d9";"a4aca8a139e2b0c4";"56660";"Wed Jul  8 22:25:39 2020"
"Rückstau-Profi Verwaltungs-GmbH Oer-Erkenschwick";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"26.01.2016";"95%";"0d747c0b2dd5781887ce3d83356491d9";"4b3751ccd0e89f35";"56660";"Wed Jul  8 22:25:39 2020"
"PROFI Bauträger Wohnbau-Verwaltungs-GmbH Mönchengladbach";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 24.10.2012 bis zum 31.12.2012";"29.05.2015";"95%";"0d747c0b2dd5781887ce3d83356491d9";"79ae07a722e1292e";"56660";"Wed Jul  8 22:25:39 2020"
"PROFI Bauträger Wohnbau-Verwaltungs-GmbH Mönchengladbach";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 23.10.2012";"28.05.2015";"95%";"0d747c0b2dd5781887ce3d83356491d9";"6b7aa92a3b641aa2";"56660";"Wed Jul  8 22:25:39 2020"
"PROFI Bauträger Wohnbau-Verwaltungs-GmbH Mönchengladbach";"Rechnungslegung/ Finanzberichte";"» Liquidationseröffnungsbilanz zum 24.10.2012";"26.05.2015";"95%";"0d747c0b2dd5781887ce3d83356491d9";"6f1d86cff08ddf70";"56660";"Wed Jul  8 22:25:39 2020"
"FR Financial Services GmbH (vormals: ProFi Verwaltungs GmbH) Wolfsburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"18.02.2015";"95%";"0d747c0b2dd5781887ce3d83356491d9";"f27f8a5051e91bf5";"56660";"Wed Jul  8 22:25:39 2020"
"Kuß & Wiedenmann Verwaltungs GmbH (vormals: PS Profi-Service Befestigungstechnik GmbH) Ederheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"29.01.2015";"95%";"0d747c0b2dd5781887ce3d83356491d9";"28bae04c2d770b9e";"56660";"Wed Jul  8 22:25:39 2020"
"Rückstau-Profi Verwaltungs-GmbH Oer-Erkenschwick";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"09.01.2015";"95%";"0d747c0b2dd5781887ce3d83356491d9";"7877ce46cf1c314e";"56660";"Wed Jul  8 22:25:39 2020"
"Profi Unternehmensberatungs- und Verwaltungs GmbH Gotha";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"07.01.2015";"95%";"0d747c0b2dd5781887ce3d83356491d9";"0cb9027d29fa7a30";"56660";"Wed Jul  8 22:25:39 2020"
"Sport Profi-Markt Verwaltungs-GmbH Schwäbisch Gmünd";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2013 bis zum 30.06.2014";"19.11.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"387d66df0399f76b";"56660";"Wed Jul  8 22:25:39 2020"
"PROFI Bauträger Wohnbau-Verwaltungs-GmbH Mönchengladbach";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"23.10.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"913e1983e83a508a";"56660";"Wed Jul  8 22:25:39 2020"
"Profi-Star Verwaltungs GmbH Breitscheid-Siebenmorgen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"02.09.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"f23002bbe6e344a5";"56660";"Wed Jul  8 22:25:39 2020"
"Profi Unternehmensberatungs- und Verwaltungs GmbH Gotha";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"21.02.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"bcd712595dc0e75a";"56660";"Wed Jul  8 22:25:39 2020"
"Profi-Star Verwaltungs GmbH Breitscheid-Siebenmorgen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"29.01.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"12f0b7fa6f79d0c8";"56660";"Wed Jul  8 22:25:39 2020"
"Rückstau-Profi Verwaltungs-GmbH Oer-Erkenschwick";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"24.01.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"e6c0f264d729f09f";"56660";"Wed Jul  8 22:25:39 2020"
"PERSONAL PROFI Verwaltungs-GmbH Paderborn";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"16.01.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"1017de2925b5abfd";"56660";"Wed Jul  8 22:25:39 2020"
