"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Quanto Solutions GmbH Stuttgart";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"27.12.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"a3133a1280d84b7a";"04476";"Wed Jul  8 23:45:55 2020"
"Quanto Solutions GmbH Stuttgart";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"03.01.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"a7b35489da5fa7ff";"04476";"Wed Jul  8 23:45:55 2020"
"quanto management solutions GmbH & Co. KG Kiel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.10.2014 bis zum 30.09.2015";"04.10.2016";"95%";"0d747c0b2dd5781887ce3d83356491d9";"24ca45f202bb1057";"04476";"Wed Jul  8 23:45:55 2020"
"quanto IT solutions GmbH & Co. KG Flensburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.10.2014 bis zum 30.09.2015";"04.10.2016";"95%";"0d747c0b2dd5781887ce3d83356491d9";"445d43993de54e51";"04476";"Wed Jul  8 23:45:55 2020"
"quanto IT solutions GmbH & Co. KG Flensburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.10.2013 bis zum 30.09.2014";"10.08.2015";"95%";"0d747c0b2dd5781887ce3d83356491d9";"a59cd70989fd8dc2";"04476";"Wed Jul  8 23:45:55 2020"
"quanto management solutions GmbH & Co. KG Kiel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.10.2013 bis zum 30.09.2014";"04.08.2015";"95%";"0d747c0b2dd5781887ce3d83356491d9";"4fc6cd98b35d954b";"04476";"Wed Jul  8 23:45:55 2020"
"quanto management solutions GmbH & Co. KG Kiel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.10.2012 bis zum 30.09.2013";"23.10.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"90b2ee236bd405f1";"04476";"Wed Jul  8 23:45:55 2020"
"quanto IT solutions GmbH & Co. KG Flensburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.10.2012 bis zum 30.09.2013";"22.10.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"07fa81a76dc606ef";"04476";"Wed Jul  8 23:45:55 2020"
"quanto IT solutions GmbH & Co. KG Flensburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.10.2011 bis zum 30.09.2012";"02.07.2013";"95%";"0d747c0b2dd5781887ce3d83356491d9";"2ffc084bfa35233a";"04476";"Wed Jul  8 23:45:55 2020"
"quanto management solutions GmbH & Co. KG Kiel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.10.2011 bis zum 30.09.2012";"28.06.2013";"95%";"0d747c0b2dd5781887ce3d83356491d9";"23f02cff2d3c00dc";"04476";"Wed Jul  8 23:45:55 2020"
"Société Générale Effekten GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2019";"22.10.2019";"50%";"0d747c0b2dd5781887ce3d83356491d9";"72c7d90cf8a78da4";"04476";"Wed Jul  8 23:45:55 2020"
"Société Générale Effekten GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Konzern - Halbjahresfinanzbericht zum 30 Juni 2018";"12.10.2018";"50%";"0d747c0b2dd5781887ce3d83356491d9";"3ba1a962d1e47406";"04476";"Wed Jul  8 23:45:55 2020"
"Société Générale Effekten GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Konzern - Halbjahresfinanzbericht zum 30 Juni 2017";"05.10.2017";"45%";"0d747c0b2dd5781887ce3d83356491d9";"ef699b1b49f91a97";"04476";"Wed Jul  8 23:45:55 2020"
"HSBC Trinkaus & Burkhardt AG Düsseldorf";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2019";"04.10.2019";"10%";"0d747c0b2dd5781887ce3d83356491d9";"668e173c2f08b635";"04476";"Wed Jul  8 23:45:56 2020"
"HSBC Trinkaus & Burkhardt AG Düsseldorf";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2015";"30.09.2015";"5%";"0d747c0b2dd5781887ce3d83356491d9";"294ad41aeab8f3ac";"04476";"Wed Jul  8 23:45:56 2020"
"HSBC Trinkaus & Burkhardt AG Düsseldorf";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2014";"05.09.2014";"5%";"0d747c0b2dd5781887ce3d83356491d9";"239feec0286b8218";"04476";"Wed Jul  8 23:45:56 2020"
