"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Quoniam Asset Management GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018 Sprache(n) der Übersetzung(en): Englisch";"22.10.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"273e7356f5742d15";"06920";"Wed Jul  8 23:10:01 2020"
"Quoniam Asset Management GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017 Sprache(n) der Übersetzung(en): Englisch";"16.10.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"df48ab9ee1b9e49c";"06920";"Wed Jul  8 23:10:01 2020"
"Quoniam Asset Management GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016 Sprache(n) der Übersetzung(en): Englisch";"12.10.2017";"97%";"0d747c0b2dd5781887ce3d83356491d9";"237b187fabdcee47";"06920";"Wed Jul  8 23:10:01 2020"
"Quoniam Asset Management GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015 Sprache(n) der Übersetzung(en): Englisch";"27.10.2016";"97%";"0d747c0b2dd5781887ce3d83356491d9";"d8a7d9fb7fe4c03f";"06920";"Wed Jul  8 23:10:01 2020"
"Quoniam Asset Management GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"28.09.2015";"97%";"0d747c0b2dd5781887ce3d83356491d9";"cf920f4b2b2020ee";"06920";"Wed Jul  8 23:10:01 2020"
"Quoniam Asset Management GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"05.11.2014";"97%";"0d747c0b2dd5781887ce3d83356491d9";"61530f7dd5c6fd38";"06920";"Wed Jul  8 23:10:01 2020"
"Quoniam Asset Management GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"26.11.2013";"97%";"0d747c0b2dd5781887ce3d83356491d9";"28e9ce835416b2cc";"06920";"Wed Jul  8 23:10:01 2020"
"Quoniam Asset Management GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"27.09.2012";"97%";"0d747c0b2dd5781887ce3d83356491d9";"fbd691823fd213fc";"06920";"Wed Jul  8 23:10:01 2020"
"Quoniam Asset Management GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"12.10.2011";"97%";"0d747c0b2dd5781887ce3d83356491d9";"8f17c255e6ff69f4";"06920";"Wed Jul  8 23:10:01 2020"
"Quoniam Asset Management GmbH (vormals: Union PanAgora Asset Management GmbH) Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007 Ergänzung der Veröffentlichung vom 20.10.2008";"13.01.2011";"97%";"0d747c0b2dd5781887ce3d83356491d9";"6cd2456ad0a0450b";"06920";"Wed Jul  8 23:10:01 2020"
"Quoniam Asset Management GmbH (vormals: Union PanAgora Asset Management GmbH) Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008 Ergänzung der Veröffentlichung vom 22.09.2009";"13.01.2011";"97%";"0d747c0b2dd5781887ce3d83356491d9";"157460227a9931ed";"06920";"Wed Jul  8 23:10:01 2020"
"Quoniam Asset Management GmbH (vormals: Union PanAgora Asset Management GmbH) Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2006 bis zum 31.12.2006 Ergänzung der Veröffentlichung vom 20.09.2007";"28.12.2010";"97%";"0d747c0b2dd5781887ce3d83356491d9";"9d525bc763334b50";"06920";"Wed Jul  8 23:10:01 2020"
"Quoniam Asset Management GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"20.09.2010";"97%";"0d747c0b2dd5781887ce3d83356491d9";"f9571bf0b2f35492";"06920";"Wed Jul  8 23:10:01 2020"
"Quoniam Asset Management GmbH (vormals: Union PanAgora Asset Management GmbH) Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008 Ergänzt am 13.01.2011";"22.09.2009";"97%";"0d747c0b2dd5781887ce3d83356491d9";"c546af04f09c3112";"06920";"Wed Jul  8 23:10:01 2020"
