"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"General Reinsurance AG Köln";"Rechnungslegung/ Finanzberichte";"» Bericht zur Unternehmerischen Verantwortung 2018";"08.07.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"c4dd7ded8d9f8cd6";"80663";"Thu Jul  9 00:01:07 2020"
"Landessparkasse zu Oldenburg Oldenburg";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"01.07.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"7b687168969974a4";"80663";"Thu Jul  9 00:01:07 2020"
"Deutsche Pfandbriefbank AG Garching";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"01.04.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"82a18dedf17b3a7a";"80663";"Thu Jul  9 00:01:07 2020"
"SMBC Bank EU AG Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Offenlegungsbericht nach CRR per 31. März 2019";"09.12.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"68dde03857e23d9a";"80663";"Thu Jul  9 00:01:07 2020"
"Société Générale Effekten GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2019";"22.10.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"25ef30e8d46d7955";"80663";"Thu Jul  9 00:01:07 2020"
"Alpha Group Jersey Limited 44 Esplanade,  St Helier";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2019";"04.10.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"ee47315eaa2b9a0d";"80663";"Thu Jul  9 00:01:07 2020"
"Landessparkasse zu Oldenburg Oldenburg";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"04.09.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"4663b3c76a77e8c9";"80663";"Thu Jul  9 00:01:07 2020"
"DWS Group GmbH & Co. KGaA Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Halbjahreskonzernbericht zum 30. Juni 2019";"31.07.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"659fe5f567495881";"80663";"Thu Jul  9 00:01:07 2020"
"Deutsche Pfandbriefbank AG München";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"07.05.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"728fd96cb309b261";"80663";"Thu Jul  9 00:01:07 2020"
"DEUTSCHE BANK AKTIENGESELLSCHAFT Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Konzern - Quartalsfinanzbericht zum 30. September 2018";"04.01.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"2cf53a8341d46e4e";"80663";"Thu Jul  9 00:01:07 2020"
"Société Générale Effekten GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Konzern - Halbjahresfinanzbericht zum 30 Juni 2018";"12.10.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"e8a53303eb138270";"80663";"Thu Jul  9 00:01:07 2020"
"Landessparkasse zu Oldenburg Oldenburg";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"06.09.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"147936765f17d355";"80663";"Thu Jul  9 00:01:07 2020"
"DWS Group GmbH & Co. KGaA (vormals: DWS Group SE) Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht  zum 30. Juni 2018";"09.08.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"a043e01846c95168";"80663";"Thu Jul  9 00:01:07 2020"
"Deutsche Pfandbriefbank AG München";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"12.06.2018";"50%";"0d747c0b2dd5781887ce3d83356491d9";"fe8f718f2a838914";"80663";"Thu Jul  9 00:01:07 2020"
"Telefónica Deutschland Holding AG München";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"12.06.2018";"50%";"0d747c0b2dd5781887ce3d83356491d9";"8fb1658cdcf4d02c";"80663";"Thu Jul  9 00:01:07 2020"
"DEUTSCHE BANK AKTIENGESELLSCHAFT Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Konzern - Quartalsfinanzbericht zum 31. März 2018";"03.05.2018";"50%";"0d747c0b2dd5781887ce3d83356491d9";"c2c5fa1368a336ba";"80663";"Thu Jul  9 00:01:07 2020"
"DEUTSCHE BANK AKTIENGESELLSCHAFT Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Konzern - Quartalsfinanzbericht zum 30. September 2017";"08.11.2017";"50%";"0d747c0b2dd5781887ce3d83356491d9";"290bc379e20fc599";"80663";"Thu Jul  9 00:01:07 2020"
"Société Générale Effekten GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Konzern - Halbjahresfinanzbericht zum 30 Juni 2017";"05.10.2017";"50%";"0d747c0b2dd5781887ce3d83356491d9";"52d3b71289f4d827";"80663";"Thu Jul  9 00:01:07 2020"
"DEUTSCHE BANK AKTIENGESELLSCHAFT Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Konzern-Halbjahresbericht zum 30. Juni 2017";"02.08.2017";"50%";"0d747c0b2dd5781887ce3d83356491d9";"272322d61aa98a1d";"80663";"Thu Jul  9 00:01:07 2020"
"DEUTSCHE BANK AKTIENGESELLSCHAFT Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Quartalsfinanzbericht zum 31. März 2017";"05.05.2017";"50%";"0d747c0b2dd5781887ce3d83356491d9";"1f0ed4f041249a2a";"80663";"Thu Jul  9 00:01:07 2020"
