"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"RessourcenReich GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"06.12.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"ab8d37b62fc5d42a";"93197";"Wed Jul  8 22:36:15 2020"
"RessourcenReich GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"11.12.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"f6736bd6caaac4a1";"93197";"Wed Jul  8 22:36:15 2020"
"RessourcenReich GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"24.07.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"d131616298600612";"93197";"Wed Jul  8 22:36:15 2020"
"RessourcenReich GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"20.10.2016";"92%";"0d747c0b2dd5781887ce3d83356491d9";"87150c6004007e9b";"93197";"Wed Jul  8 22:36:15 2020"
"RessourcenReich GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"03.08.2015";"92%";"0d747c0b2dd5781887ce3d83356491d9";"5daa2363e0eeacc7";"93197";"Wed Jul  8 22:36:15 2020"
"RessourcenReich GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"28.07.2014";"92%";"0d747c0b2dd5781887ce3d83356491d9";"2d18b8c4d20fdcde";"93197";"Wed Jul  8 22:36:15 2020"
"RessourcenReich GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"28.11.2013";"92%";"0d747c0b2dd5781887ce3d83356491d9";"e1cf5c8691bcaaec";"93197";"Wed Jul  8 22:36:15 2020"
"RessourcenReich GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"12.12.2012";"92%";"0d747c0b2dd5781887ce3d83356491d9";"3e3fa4b237ac55cb";"93197";"Wed Jul  8 22:36:15 2020"
"RessourcenReich GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"03.01.2012";"92%";"0d747c0b2dd5781887ce3d83356491d9";"98c21f42301b1d8a";"93197";"Wed Jul  8 22:36:15 2020"
"RessourcenReich GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"24.01.2011";"92%";"0d747c0b2dd5781887ce3d83356491d9";"64cc1f989271972c";"93197";"Wed Jul  8 22:36:15 2020"
"JTSD - Braunkohlebergbau GmbH Zeitz";"Rechnungslegung/ Finanzberichte";"» Konzernzahlungsbericht zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"02.01.2020";"67%";"0d747c0b2dd5781887ce3d83356491d9";"cafc99c1d7d1bbdb";"93197";"Wed Jul  8 22:36:15 2020"
"JTSD - Braunkohlebergbau GmbH Zeitz";"Rechnungslegung/ Finanzberichte";"» Konzernzahlungsbericht zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"20.12.2018";"67%";"0d747c0b2dd5781887ce3d83356491d9";"a1dd6120583559ed";"93197";"Wed Jul  8 22:36:15 2020"
"JTSD - Braunkohlebergbau GmbH Zeitz";"Rechnungslegung/ Finanzberichte";"» Konzernzahlungsbericht zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"15.12.2017";"59%";"0d747c0b2dd5781887ce3d83356491d9";"75f7eb710012223c";"93197";"Wed Jul  8 22:36:15 2020"
"K+S Aktiengesellschaft Kassel";"Rechnungslegung/ Finanzberichte";"» Konzernzahlungsbericht zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"12.07.2019";"17%";"0d747c0b2dd5781887ce3d83356491d9";"93cd2e51034bdd6c";"93197";"Wed Jul  8 22:36:15 2020"
"K+S Aktiengesellschaft Kassel";"Rechnungslegung/ Finanzberichte";"» Konzernzahlungsbericht zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"17.07.2018";"17%";"0d747c0b2dd5781887ce3d83356491d9";"2960fd3ea22fbfe0";"93197";"Wed Jul  8 22:36:15 2020"
