"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Rottländer Business-IT GmbH Siegburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"23.06.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"a503e1dfd04e4d57";"11929";"Wed Jul  8 23:55:59 2020"
"Rottländer Business-IT GmbH Siegburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"30.10.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"1c1cb94f96d4c869";"11929";"Wed Jul  8 23:55:59 2020"
"Rottländer Business-IT GmbH Siegburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"08.06.2018";"97%";"0d747c0b2dd5781887ce3d83356491d9";"524bddbd1debea7a";"11929";"Wed Jul  8 23:55:59 2020"
"Rottländer Business-IT GmbH Siegburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"25.01.2018";"97%";"0d747c0b2dd5781887ce3d83356491d9";"51f90b954b1b5889";"11929";"Wed Jul  8 23:55:59 2020"
"Rottländer Business-IT GmbH Siegburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"13.07.2016";"97%";"0d747c0b2dd5781887ce3d83356491d9";"aacb3d1b852077be";"11929";"Wed Jul  8 23:55:59 2020"
"Rottländer Business-IT GmbH Siegburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"09.07.2015";"97%";"0d747c0b2dd5781887ce3d83356491d9";"9f9c52e6f1b8bc69";"11929";"Wed Jul  8 23:55:59 2020"
"Rottländer Business-IT GmbH Siegburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"14.07.2014";"97%";"0d747c0b2dd5781887ce3d83356491d9";"4088502e0eaf06c7";"11929";"Wed Jul  8 23:55:59 2020"
"Rottländer Business-IT GmbH Siegburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"06.09.2013";"97%";"0d747c0b2dd5781887ce3d83356491d9";"0a6effbe7ce7093e";"11929";"Wed Jul  8 23:55:59 2020"
"Rottländer Business-IT GmbH Siegburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"29.05.2012";"97%";"0d747c0b2dd5781887ce3d83356491d9";"c12471cb2a032ad1";"11929";"Wed Jul  8 23:55:59 2020"
"Rottländer Business-IT GmbH Siegburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"27.06.2011";"97%";"0d747c0b2dd5781887ce3d83356491d9";"a126f17b4fbd2319";"11929";"Wed Jul  8 23:55:59 2020"
"Rottländer Business-IT GmbH Siegburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"03.01.2011";"97%";"0d747c0b2dd5781887ce3d83356491d9";"23f7f27ad073eafe";"11929";"Wed Jul  8 23:55:59 2020"
