"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Rowius GmbH Kalbach";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"17.10.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"498ec1d280032aa1";"19001";"Wed Jul  8 23:32:40 2020"
"Rowius GmbH Kalbach";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"15.06.2018";"92%";"0d747c0b2dd5781887ce3d83356491d9";"7f4688f834d67262";"19001";"Wed Jul  8 23:32:40 2020"
"Rowius GmbH Kalbach";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"07.03.2018";"92%";"0d747c0b2dd5781887ce3d83356491d9";"1d3af8bbc2517f4a";"19001";"Wed Jul  8 23:32:40 2020"
"Rowius GmbH Kalbach";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"27.12.2016";"92%";"0d747c0b2dd5781887ce3d83356491d9";"93b79c9e7d19bdee";"19001";"Wed Jul  8 23:32:40 2020"
"Rowius GmbH Kalbach";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"12.01.2016";"92%";"0d747c0b2dd5781887ce3d83356491d9";"10c9e969da3dd5d5";"19001";"Wed Jul  8 23:32:40 2020"
"Rowius e. K. Inh. Knut Halder (vormals: Rowius GmbH & Co. KG) Kalbach";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"02.02.2015";"92%";"0d747c0b2dd5781887ce3d83356491d9";"781fbda2c723295e";"19001";"Wed Jul  8 23:32:40 2020"
"Rowius GmbH Kalbach";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.10.2013 bis zum 31.12.2013";"20.01.2015";"92%";"0d747c0b2dd5781887ce3d83356491d9";"63e5fcd8d6eb1122";"19001";"Wed Jul  8 23:32:40 2020"
"Rowius e. K. Inh. Knut Halder (vormals: Rowius GmbH & Co. KG) Kalbach";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"10.02.2014";"92%";"0d747c0b2dd5781887ce3d83356491d9";"cc5beb61c1dfbeb9";"19001";"Wed Jul  8 23:32:40 2020"
"Rowius GmbH & Co. KG Kalbach";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"31.05.2012";"92%";"0d747c0b2dd5781887ce3d83356491d9";"5a7ed66e17b3c1b2";"19001";"Wed Jul  8 23:32:40 2020"
"Rowius GmbH & Co. KG Kalbach";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"09.01.2012";"92%";"0d747c0b2dd5781887ce3d83356491d9";"6bbbbf9118c7ada0";"19001";"Wed Jul  8 23:32:40 2020"
"Rowius GmbH & Co. KG Kalbach (vormals: Fulda)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"27.04.2011";"92%";"0d747c0b2dd5781887ce3d83356491d9";"43ac2522ffd078da";"19001";"Wed Jul  8 23:32:40 2020"
"Rowius GmbH & Co. KG Fulda";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"10.03.2010";"92%";"0d747c0b2dd5781887ce3d83356491d9";"14bb724351293421";"19001";"Wed Jul  8 23:32:40 2020"
"Rowius GmbH & Co. KG Fulda";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"07.07.2009";"92%";"0d747c0b2dd5781887ce3d83356491d9";"b75171eae9b34b25";"19001";"Wed Jul  8 23:32:40 2020"
"Rowius GmbH & Co. KG Fulda";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31. Dezember 2006";"13.06.2008";"92%";"0d747c0b2dd5781887ce3d83356491d9";"4c5e1479d9877084";"19001";"Wed Jul  8 23:32:40 2020"
