"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"SCIROTEC GmbH Tübingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"20.01.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"4c9718a3ca5b8a23";"14330";"Wed Jul  8 23:57:12 2020"
"SCIROTEC GmbH Tübingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"10.01.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"c79bda12c43b7dc1";"14330";"Wed Jul  8 23:57:12 2020"
"SCIROTEC GmbH Tübingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"25.01.2018";"92%";"0d747c0b2dd5781887ce3d83356491d9";"064d01d89936414a";"14330";"Wed Jul  8 23:57:12 2020"
"SCIROTEC GmbH Tübingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"10.02.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"b76843b477860106";"14330";"Wed Jul  8 23:57:12 2020"
"SCIROTEC GmbH Tübingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"03.02.2016";"92%";"0d747c0b2dd5781887ce3d83356491d9";"1c2289bf4fb77a02";"14330";"Wed Jul  8 23:57:12 2020"
"SCIROTEC GmbH Tübingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"06.03.2015";"92%";"0d747c0b2dd5781887ce3d83356491d9";"41655ebbe6b041e9";"14330";"Wed Jul  8 23:57:12 2020"
"SCIROTEC GmbH Tübingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"06.03.2014";"92%";"0d747c0b2dd5781887ce3d83356491d9";"ad731b62b89f8194";"14330";"Wed Jul  8 23:57:12 2020"
"SCIROTEC GmbH Tübingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"01.02.2013";"92%";"0d747c0b2dd5781887ce3d83356491d9";"070f49b497637999";"14330";"Wed Jul  8 23:57:12 2020"
"SCIROTEC GmbH Tübingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"07.03.2012";"92%";"0d747c0b2dd5781887ce3d83356491d9";"8fb20d1225fa4cce";"14330";"Wed Jul  8 23:57:12 2020"
"SCIROTEC GmbH Tübingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"10.02.2011";"92%";"0d747c0b2dd5781887ce3d83356491d9";"525aee759f27cb27";"14330";"Wed Jul  8 23:57:12 2020"
