"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"SEC  Selecta Energy Consulting GmbH Kelkheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.10.2018 bis zum 31.12.2018";"09.01.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"12ffebe77c53b501";"26914";"Thu Jul  9 00:13:12 2020"
"SEC  Selecta Energy Consulting GmbH Kelkheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.10.2017 bis zum 30.09.2018";"30.09.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"349ceab977d33520";"26914";"Thu Jul  9 00:13:12 2020"
"SEC  Selecta Energy Consulting GmbH Kelkheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.10.2016 bis zum 30.09.2017";"28.09.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"c4f91ee716159137";"26914";"Thu Jul  9 00:13:12 2020"
"SEC  Selecta Energy Consulting GmbH Kelkheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.10.2015 bis zum 30.09.2016";"27.09.2017";"98%";"0d747c0b2dd5781887ce3d83356491d9";"c73a9f35f8f8c5c6";"26914";"Thu Jul  9 00:13:12 2020"
"SEC  Selecta Energy Consulting GmbH Kelkheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.10.2014 bis zum 30.09.2015";"04.10.2016";"98%";"0d747c0b2dd5781887ce3d83356491d9";"94016e9d64d5778c";"26914";"Thu Jul  9 00:13:12 2020"
"SEC  Selecta Energy Consulting GmbH Kelkheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.10.2013 bis zum 30.09.2014";"28.09.2015";"98%";"0d747c0b2dd5781887ce3d83356491d9";"3a889ebdc9f990dd";"26914";"Thu Jul  9 00:13:12 2020"
"SEC  Selecta Energy Consulting GmbH Kelkheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.10.2012 bis zum 30.09.2013";"19.09.2014";"98%";"0d747c0b2dd5781887ce3d83356491d9";"ded1434097288e14";"26914";"Thu Jul  9 00:13:12 2020"
"SEC  Selecta Energy Consulting GmbH Kelkheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.10.2011 bis zum 30.09.2012";"30.09.2013";"98%";"0d747c0b2dd5781887ce3d83356491d9";"9b170b40459b1fdf";"26914";"Thu Jul  9 00:13:12 2020"
"SEC  Selecta Energy Consulting GmbH Kelkheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.10.2010 bis zum 30.09.2011";"01.10.2012";"98%";"0d747c0b2dd5781887ce3d83356491d9";"98214346c60faf14";"26914";"Thu Jul  9 00:13:12 2020"
"SEC  Selecta Energy Consulting GmbH Kelkheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.10.2009 bis zum 30.09.2010";"04.10.2011";"98%";"0d747c0b2dd5781887ce3d83356491d9";"81f77a8fb8890f76";"26914";"Thu Jul  9 00:13:12 2020"
"SEC  Selecta Energy Consulting GmbH Kelkheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.10.2008 bis zum 30.09.2009";"10.11.2010";"98%";"0d747c0b2dd5781887ce3d83356491d9";"808ec043126e42f3";"26914";"Thu Jul  9 00:13:12 2020"
"SEC  Selecta Energy Consulting GmbH Kelkheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.10.2007 bis zum 30.09.2008";"21.01.2010";"98%";"0d747c0b2dd5781887ce3d83356491d9";"61d3685521b502b5";"26914";"Thu Jul  9 00:13:12 2020"
"SEC  Selecta Energy Consulting GmbH Kelkheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.10.2006 bis zum 30.09.2007";"29.04.2009";"98%";"0d747c0b2dd5781887ce3d83356491d9";"9476a5a30ad7f7e9";"26914";"Thu Jul  9 00:13:12 2020"
