"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"SEKAS GmbH Software Engineering für Kommunikations- und Automatisierungssysteme München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"25.11.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"dbb88d2504be48b9";"90734";"Wed Jul  8 23:37:05 2020"
"SEKAS GmbH Software Engineering für Kommunikations- und Automatisierungssysteme München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"20.12.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"fec8b167ae147ba3";"90734";"Wed Jul  8 23:37:05 2020"
"SEKAS GmbH Software Engineering für Kommunikations- und Automatisierungssysteme München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"26.09.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"18d51004d6a3a0ab";"90734";"Wed Jul  8 23:37:05 2020"
"SEKAS GmbH Software Engineering für Kommunikations- und Automatisierungssysteme München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"03.08.2016";"92%";"0d747c0b2dd5781887ce3d83356491d9";"bbc4d47c8853da8c";"90734";"Wed Jul  8 23:37:05 2020"
"SEKAS GmbH Software Engineering für Kommunikations- und Automatisierungssysteme München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"09.10.2015";"92%";"0d747c0b2dd5781887ce3d83356491d9";"1b4720914bdc849d";"90734";"Wed Jul  8 23:37:05 2020"
"SEKAS GmbH Software Engineering für Kommunikations- und Automatisierungssysteme München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"29.01.2015";"92%";"0d747c0b2dd5781887ce3d83356491d9";"b87d6cb523861513";"90734";"Wed Jul  8 23:37:05 2020"
"SEKAS GmbH Software Engineering für Kommunikations- und Automatisierungssysteme München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"18.12.2013";"92%";"0d747c0b2dd5781887ce3d83356491d9";"20c8057db69d5427";"90734";"Wed Jul  8 23:37:05 2020"
"SEKAS GmbH Software Engineering für Kommunikations- und Automatisierungssysteme München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"01.08.2012";"92%";"0d747c0b2dd5781887ce3d83356491d9";"ab236f56fd053263";"90734";"Wed Jul  8 23:37:05 2020"
"SEKAS GmbH Software Engineering für Kommunikations- und Automatisierungssysteme München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"24.08.2011";"92%";"0d747c0b2dd5781887ce3d83356491d9";"9c871a3223cf1dc0";"90734";"Wed Jul  8 23:37:05 2020"
"SEKAS GmbH Software Engineering für Kommunikations- und Automatisierungssysteme München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"07.02.2011";"92%";"0d747c0b2dd5781887ce3d83356491d9";"16e25fa17a30f438";"90734";"Wed Jul  8 23:37:05 2020"
"SEKAS GmbH Software Engineering für Kommunikations- und Automatisierungssysteme München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"29.03.2010";"92%";"0d747c0b2dd5781887ce3d83356491d9";"b56638a0bcc1d86e";"90734";"Wed Jul  8 23:37:05 2020"
"SEKAS GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"11.07.2008";"92%";"0d747c0b2dd5781887ce3d83356491d9";"dedc157de5d76c5e";"90734";"Wed Jul  8 23:37:05 2020"
"SEKAS GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2007";"11.07.2008";"92%";"0d747c0b2dd5781887ce3d83356491d9";"f45180806d7c698f";"90734";"Wed Jul  8 23:37:05 2020"
