"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"SMEA IT Services GmbH Rostock";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"04.12.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"477ce487883f1a9a";"99593";"Wed Jul  8 23:33:52 2020"
"SMEA IT Services GmbH Rostock";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017 Ergänzung der Veröffentlichung vom 10.12.2018";"26.11.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"88de419d1185c7a1";"99593";"Wed Jul  8 23:33:52 2020"
"SMEA IT Services GmbH Rostock";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017 Ergänzt am 26.11.2019";"10.12.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"1f74a0c13b1afb04";"99593";"Wed Jul  8 23:33:52 2020"
"SMEA IT Services GmbH Rostock";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"02.10.2017";"97%";"0d747c0b2dd5781887ce3d83356491d9";"75dce879347b4ec7";"99593";"Wed Jul  8 23:33:52 2020"
"SMEA IT Services GmbH Rostock";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"06.07.2016";"97%";"0d747c0b2dd5781887ce3d83356491d9";"6391cc260540d626";"99593";"Wed Jul  8 23:33:52 2020"
"SMEA IT Services GmbH Rostock";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"13.07.2015";"97%";"0d747c0b2dd5781887ce3d83356491d9";"301c068acc0f2462";"99593";"Wed Jul  8 23:33:52 2020"
"SMEA IT Services GmbH Rostock";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"06.10.2014";"97%";"0d747c0b2dd5781887ce3d83356491d9";"4dd05ecd08a90265";"99593";"Wed Jul  8 23:33:52 2020"
"SMEA IT Services GmbH Rostock";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"22.10.2013";"97%";"0d747c0b2dd5781887ce3d83356491d9";"40e620fddf54f35a";"99593";"Wed Jul  8 23:33:52 2020"
"SMEA IT Services GmbH Rostock";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"16.11.2012";"97%";"0d747c0b2dd5781887ce3d83356491d9";"a109589b804b0353";"99593";"Wed Jul  8 23:33:52 2020"
"SMEA IT Services GmbH Rostock";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"14.09.2011";"97%";"0d747c0b2dd5781887ce3d83356491d9";"21d7a7dc15a248c4";"99593";"Wed Jul  8 23:33:52 2020"
"SMEA IT Services GmbH Rostock";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"17.11.2010";"97%";"0d747c0b2dd5781887ce3d83356491d9";"ded7c8b5e019b0ab";"99593";"Wed Jul  8 23:33:52 2020"
