"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"STAKEHOLDER REPORTING GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"13.12.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"1b3f8d397103b8f5";"50482";"Wed Jul  8 22:55:45 2020"
"STAKEHOLDER REPORTING GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"22.01.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"b86614e5e50c590a";"50482";"Wed Jul  8 22:55:45 2020"
"STAKEHOLDER REPORTING GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"25.01.2018";"95%";"0d747c0b2dd5781887ce3d83356491d9";"72f6df09704ae9d2";"50482";"Wed Jul  8 22:55:45 2020"
"STAKEHOLDER REPORTING GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"26.01.2017";"95%";"0d747c0b2dd5781887ce3d83356491d9";"6980b47a2e438211";"50482";"Wed Jul  8 22:55:45 2020"
"STAKEHOLDER REPORTING GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"05.02.2016";"95%";"0d747c0b2dd5781887ce3d83356491d9";"8ef44970f560e07b";"50482";"Wed Jul  8 22:55:45 2020"
"STAKEHOLDER REPORTING GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"06.02.2015";"95%";"0d747c0b2dd5781887ce3d83356491d9";"e28b287a0b24ddc2";"50482";"Wed Jul  8 22:55:45 2020"
"STAKEHOLDER REPORTING GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"03.02.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"a1722b750a4b7f63";"50482";"Wed Jul  8 22:55:45 2020"
"STAKEHOLDER REPORTING GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"11.12.2012";"95%";"0d747c0b2dd5781887ce3d83356491d9";"fd2c0abb81739871";"50482";"Wed Jul  8 22:55:45 2020"
"STAKEHOLDER REPORTING GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"18.01.2012";"95%";"0d747c0b2dd5781887ce3d83356491d9";"56e0fe641f0dbc13";"50482";"Wed Jul  8 22:55:45 2020"
"STAKEHOLDER REPORTING GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"11.02.2011";"95%";"0d747c0b2dd5781887ce3d83356491d9";"0a6c1ec46aaf958a";"50482";"Wed Jul  8 22:55:45 2020"
