"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"STEIN-IT GmbH Marl";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2018 bis zum 30.06.2019";"29.06.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"b6ca2260a4ee48c4";"16627";"Wed Jul  8 23:50:23 2020"
"STEIN-IT GmbH Marl";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2017 bis zum 30.06.2018";"26.06.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"3e70bb6198bb7448";"16627";"Wed Jul  8 23:50:23 2020"
"STEIN-IT GmbH Marl";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2016 bis zum 30.06.2017";"25.06.2018";"95%";"0d747c0b2dd5781887ce3d83356491d9";"702bef07d58790e8";"16627";"Wed Jul  8 23:50:23 2020"
"STEIN-IT GmbH Marl";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2015 bis zum 30.06.2016";"09.05.2017";"95%";"0d747c0b2dd5781887ce3d83356491d9";"66b5599f84c03d01";"16627";"Wed Jul  8 23:50:23 2020"
"STEIN-IT GmbH Marl";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2014 bis zum 30.06.2015";"24.03.2016";"95%";"0d747c0b2dd5781887ce3d83356491d9";"0da8f678343c8eb7";"16627";"Wed Jul  8 23:50:23 2020"
"STEIN-IT GmbH Marl";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2013 bis zum 30.06.2014";"04.12.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"c319c2f75ef8f953";"16627";"Wed Jul  8 23:50:23 2020"
"STEIN-IT GmbH Marl";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2012 bis zum 30.06.2013";"04.09.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"dca4353c612f0bbf";"16627";"Wed Jul  8 23:50:23 2020"
"STEIN-IT GmbH Marl";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2011 bis zum 30.06.2012";"19.06.2013";"95%";"0d747c0b2dd5781887ce3d83356491d9";"0e4f9ed970e9bb5a";"16627";"Wed Jul  8 23:50:23 2020"
"Steiner IT-Systeme GmbH (vormals: debit Informationssysteme GmbH) Mülheim an der Ruhr (vormals: Oberhausen)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"18.01.2013";"95%";"0d747c0b2dd5781887ce3d83356491d9";"1ed543640df29bfc";"16627";"Wed Jul  8 23:50:23 2020"
"STEIN-IT GmbH Marl";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2010 bis zum 30.06.2011";"29.06.2012";"95%";"0d747c0b2dd5781887ce3d83356491d9";"3f2a1001fdc511b4";"16627";"Wed Jul  8 23:50:23 2020"
"Steiner IT-Systeme GmbH (vormals: debit Informationssysteme GmbH) Mülheim an der Ruhr (vormals: Oberhausen)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"19.01.2012";"95%";"0d747c0b2dd5781887ce3d83356491d9";"fca8bc12df4df05c";"16627";"Wed Jul  8 23:50:23 2020"
"STEIN-IT GmbH Marl";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2009 bis zum 30.06.2010";"15.06.2011";"95%";"0d747c0b2dd5781887ce3d83356491d9";"ab21fc26cae76b79";"16627";"Wed Jul  8 23:50:23 2020"
"STEIN-IT GmbH Marl";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2008 bis zum 30.06.2009";"16.07.2010";"95%";"0d747c0b2dd5781887ce3d83356491d9";"ba6e8aca9b1138f7";"16627";"Wed Jul  8 23:50:23 2020"
"STEIN-IT GmbH Marl";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2007 bis zum 30.06.2008";"27.07.2009";"95%";"0d747c0b2dd5781887ce3d83356491d9";"54b137ebe0047035";"16627";"Wed Jul  8 23:50:23 2020"
"STEIN-IT GmbH Marl";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2006 bis zum 30.06.2007";"14.11.2008";"95%";"0d747c0b2dd5781887ce3d83356491d9";"2dcb5d1a8156fe25";"16627";"Wed Jul  8 23:50:23 2020"
"Eisen- & Stein- Holding GmbH Siegen";"Rechnungslegung/ Finanzberichte";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"13.11.2019";"90%";"0d747c0b2dd5781887ce3d83356491d9";"7c39449b9013fe28";"16627";"Wed Jul  8 23:50:23 2020"
"Eisen- u. Stein-Gesellschaft mit beschränkter Haftung Horn & Co., Siegen; Horn & Co. Analytics GmbH, Wenden; Horn & Co. Industrial IT GmbH, Siegen; Krost Industrieofenbaugesellschaft mbH, Siegen";"Wed Jul  8 23:50:23 2020";"";"";"";"";"";"";""
"Horn & Co. Industrial IT GmbH Siegen";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.06.2018 bis zum 31.12.2018 Eisen- & Stein- Holding GmbH (Siegen)";"13.11.2019";"90%";"0d747c0b2dd5781887ce3d83356491d9";"6a1a2909f2cd1e98";"16627";"Wed Jul  8 23:50:23 2020"
