"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"SWSD Stralsunder Wach- und Sicherheitsdienst GmbH Stralsund";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"30.12.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"7dba5800cb53120d";"92929";"Wed Jul  8 22:55:46 2020"
"SWSD Stralsunder Wach- und Sicherheitsdienst GmbH Stralsund";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"14.11.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"03d3877af6c07e1f";"92929";"Wed Jul  8 22:55:46 2020"
"SWSD Stralsunder Wach- und Sicherheitsdienst GmbH Stralsund";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"28.12.2017";"98%";"0d747c0b2dd5781887ce3d83356491d9";"e4fb877e8cf9af91";"92929";"Wed Jul  8 22:55:46 2020"
"SWSD Stralsunder Wach- und Sicherheitsdienst GmbH Stralsund";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"21.10.2016";"98%";"0d747c0b2dd5781887ce3d83356491d9";"3488d832e64aeec7";"92929";"Wed Jul  8 22:55:46 2020"
"SWSD Stralsunder Wach- und Sicherheitsdienst GmbH Stralsund";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"30.10.2015";"98%";"0d747c0b2dd5781887ce3d83356491d9";"de392dc9cad1ad7a";"92929";"Wed Jul  8 22:55:46 2020"
"SWSD Stralsunder Wach- und Sicherheitsdienst GmbH Stralsund";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"05.12.2014";"98%";"0d747c0b2dd5781887ce3d83356491d9";"a66b22ecab882db9";"92929";"Wed Jul  8 22:55:46 2020"
"SWSD Stralsunder Wach- und Sicherheitsdienst GmbH Stralsund";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"29.11.2013";"98%";"0d747c0b2dd5781887ce3d83356491d9";"f9d6fa68049b59b7";"92929";"Wed Jul  8 22:55:46 2020"
"SWSD Stralsunder Wach- und Sicherheitsdienst GmbH Stralsund";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"02.01.2013";"98%";"0d747c0b2dd5781887ce3d83356491d9";"6c97f6cbec78878e";"92929";"Wed Jul  8 22:55:46 2020"
"SWSD Stralsunder Wach- und Sicherheitsdienst GmbH Stralsund";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"23.12.2011";"98%";"0d747c0b2dd5781887ce3d83356491d9";"e6ed75bf61c9c16c";"92929";"Wed Jul  8 22:55:46 2020"
"SWSD Stralsunder Wach- und Sicherheitsdienst GmbH Stralsund";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"20.01.2011";"98%";"0d747c0b2dd5781887ce3d83356491d9";"bb67766ed2f3d38a";"92929";"Wed Jul  8 22:55:46 2020"
"SWSD Stralsunder Wach- und Sicherheitsdienst GmbH Stralsund";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"22.01.2010";"98%";"0d747c0b2dd5781887ce3d83356491d9";"4a3ab597f51bc8a4";"92929";"Wed Jul  8 22:55:46 2020"
"SWSD Stralsunder Wach- und Sicherheitsdienst GmbH Stralsund";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"25.03.2009";"98%";"0d747c0b2dd5781887ce3d83356491d9";"de33963aec989086";"92929";"Wed Jul  8 22:55:46 2020"
"SWSD Stralsunder Wach- und Sicherheitsdienst GmbH Stralsund";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31. Dezember 2006";"19.05.2008";"98%";"0d747c0b2dd5781887ce3d83356491d9";"d63f4bb443165197";"92929";"Wed Jul  8 22:55:46 2020"
