"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Schlegel und Partner GmbH Weinheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.10.2017 bis zum 30.09.2018";"13.05.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"00f8958194f719d9";"04344";"Wed Jul  8 22:36:52 2020"
"Schlegel und Partner GmbH Weinheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.10.2016 bis zum 30.09.2017";"07.06.2018";"97%";"0d747c0b2dd5781887ce3d83356491d9";"287e6e37a27aa21e";"04344";"Wed Jul  8 22:36:52 2020"
"Schlegel und Partner GmbH Weinheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.10.2015 bis zum 30.09.2016";"11.04.2017";"97%";"0d747c0b2dd5781887ce3d83356491d9";"dd86b8028a8e2f11";"04344";"Wed Jul  8 22:36:52 2020"
"Schlegel und Partner GmbH Weinheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.10.2014 bis zum 30.09.2015";"12.05.2016";"97%";"0d747c0b2dd5781887ce3d83356491d9";"e1bd3998569f0a35";"04344";"Wed Jul  8 22:36:52 2020"
"Schlegel und Partner GmbH Weinheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.10.2013 bis zum 30.09.2014";"20.07.2015";"97%";"0d747c0b2dd5781887ce3d83356491d9";"e1655d05f07088b7";"04344";"Wed Jul  8 22:36:52 2020"
"Schlegel und Partner GmbH Weinheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.10.2012 bis zum 30.09.2013";"30.04.2014";"97%";"0d747c0b2dd5781887ce3d83356491d9";"ce25e42bcb8a0172";"04344";"Wed Jul  8 22:36:52 2020"
"Schlegel und Partner GmbH Weinheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.10.2011 bis zum 30.09.2012";"22.02.2013";"97%";"0d747c0b2dd5781887ce3d83356491d9";"a2488ee99dd695fb";"04344";"Wed Jul  8 22:36:52 2020"
"TKS Treptau,  Kullen,  Schlegel und Partner Unternehmensberatung und Industrieplanung GmbH Berlin Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"10.01.2013";"97%";"0d747c0b2dd5781887ce3d83356491d9";"8249d0ba06141af5";"04344";"Wed Jul  8 22:36:52 2020"
"Schlegel und Partner GmbH Weinheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.10.2010 bis zum 30.09.2011";"14.05.2012";"97%";"0d747c0b2dd5781887ce3d83356491d9";"629271c51c2b9951";"04344";"Wed Jul  8 22:36:52 2020"
"TKS Treptau,  Kullen,  Schlegel und Partner Unternehmensberatung und Industrieplanung GmbH Berlin Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"23.12.2011";"97%";"0d747c0b2dd5781887ce3d83356491d9";"8a6a3cfa3aa2b5ac";"04344";"Wed Jul  8 22:36:52 2020"
"Schlegel und Partner GmbH Weinheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.10.2008 bis zum 30.09.2009 Ergänzung der Veröffentlichung vom 05.02.2010";"26.10.2011";"97%";"0d747c0b2dd5781887ce3d83356491d9";"b820d7f37c23ea9b";"04344";"Wed Jul  8 22:36:52 2020"
"Schlegel und Partner GmbH Weinheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.10.2009 bis zum 30.09.2010 Ergänzung der Veröffentlichung vom 07.02.2011";"26.10.2011";"97%";"0d747c0b2dd5781887ce3d83356491d9";"ae889c75c7ba2ccc";"04344";"Wed Jul  8 22:36:52 2020"
"Schlegel-Hardorp & Partner GmbH,  Management und Personalberatung Düsseldorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"21.10.2011";"97%";"0d747c0b2dd5781887ce3d83356491d9";"6f2bd4216393b397";"04344";"Wed Jul  8 22:36:52 2020"
