"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Schuchert Managementberatung GmbH & Co. KG Bochum";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"09.01.2018";"98%";"0d747c0b2dd5781887ce3d83356491d9";"8d1780b59add7bed";"33101";"Wed Jul  8 22:53:05 2020"
"Schuchert Managementberatung GmbH & Co. KG Bochum";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"12.01.2017";"98%";"0d747c0b2dd5781887ce3d83356491d9";"d7ed37044f8861b1";"33101";"Wed Jul  8 22:53:05 2020"
"Schuchert Managementberatung GmbH & Co. KG Bochum";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"11.01.2016";"98%";"0d747c0b2dd5781887ce3d83356491d9";"bf2378846646d9c7";"33101";"Wed Jul  8 22:53:05 2020"
"Schuchert Managementberatung GmbH & Co. KG Bochum";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"30.01.2015";"98%";"0d747c0b2dd5781887ce3d83356491d9";"e4f204ce70ca740d";"33101";"Wed Jul  8 22:53:05 2020"
"Schuchert Managementberatung GmbH & Co. KG Bochum";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"16.12.2013";"98%";"0d747c0b2dd5781887ce3d83356491d9";"0968bf62b9cc39c5";"33101";"Wed Jul  8 22:53:05 2020"
"Schuchert Managementberatung GmbH & Co. KG Bochum";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"07.01.2013";"98%";"0d747c0b2dd5781887ce3d83356491d9";"6f8230172570b796";"33101";"Wed Jul  8 22:53:05 2020"
"Schuchert Managementberatung GmbH & Co. KG Bochum";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"16.05.2011";"98%";"0d747c0b2dd5781887ce3d83356491d9";"cccc35bf48950650";"33101";"Wed Jul  8 22:53:05 2020"
"Schuchert Managementberatung GmbH & Co. KG Bochum";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"30.11.2010";"98%";"0d747c0b2dd5781887ce3d83356491d9";"f80237bc27ccd5f2";"33101";"Wed Jul  8 22:53:05 2020"
"Schuchert Managementberatung GmbH & Co. KG Bochum";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"04.01.2010";"98%";"0d747c0b2dd5781887ce3d83356491d9";"8ca4712a4d365ffc";"33101";"Wed Jul  8 22:53:05 2020"
"Schuchert Managementberatung GmbH & Co. KG Bochum";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"19.01.2009";"98%";"0d747c0b2dd5781887ce3d83356491d9";"f73340a419f70d10";"33101";"Wed Jul  8 22:53:05 2020"
"Schuchert Managementberatung GmbH & Co. KG Bochum";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"28.01.2008";"98%";"0d747c0b2dd5781887ce3d83356491d9";"e5ccc83167aaf997";"33101";"Wed Jul  8 22:53:05 2020"
