"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Schulzdialog GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"22.06.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"8e81b84f2a123f5e";"11795";"Wed Jul  8 23:53:37 2020"
"Schulzdialog GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"29.01.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"432685fc17e14d31";"11795";"Wed Jul  8 23:53:37 2020"
"Schulzdialog GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"09.10.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"0fe2834100740cf0";"11795";"Wed Jul  8 23:53:37 2020"
"Schulzdialog GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"13.11.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"eb86e8c1c09b2719";"11795";"Wed Jul  8 23:53:37 2020"
"Schulzdialog GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"19.08.2016";"92%";"0d747c0b2dd5781887ce3d83356491d9";"52949001c10e1e87";"11795";"Wed Jul  8 23:53:37 2020"
"Schulzdialog GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"21.09.2015";"92%";"0d747c0b2dd5781887ce3d83356491d9";"158f3aa113131df1";"11795";"Wed Jul  8 23:53:37 2020"
"Schulzdialog GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"21.07.2014";"92%";"0d747c0b2dd5781887ce3d83356491d9";"9e966391e1e3dd13";"11795";"Wed Jul  8 23:53:37 2020"
"Schulzdialog GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"10.01.2014";"92%";"0d747c0b2dd5781887ce3d83356491d9";"e5d9de06fea8f7fb";"11795";"Wed Jul  8 23:53:37 2020"
"Schulzdialog Dienstleistungs GmbH Buxtehude";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"12.02.2013";"92%";"0d747c0b2dd5781887ce3d83356491d9";"a1c9474e6c2dfeb5";"11795";"Wed Jul  8 23:53:37 2020"
"Schulzdialog GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"25.01.2013";"92%";"0d747c0b2dd5781887ce3d83356491d9";"849d46530138766b";"11795";"Wed Jul  8 23:53:37 2020"
"Schulzdialog Dienstleistungs GmbH Buxtehude";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"16.03.2012";"92%";"0d747c0b2dd5781887ce3d83356491d9";"7fcd94fa92c426f3";"11795";"Wed Jul  8 23:53:37 2020"
"Schulzdialog GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"04.01.2012";"92%";"0d747c0b2dd5781887ce3d83356491d9";"5b86fb0059ed6eff";"11795";"Wed Jul  8 23:53:37 2020"
"Schulzdialog Dienstleistungs GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"12.01.2011";"92%";"0d747c0b2dd5781887ce3d83356491d9";"2ed8619566d10b15";"11795";"Wed Jul  8 23:53:37 2020"
"Schulzdialog GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"29.10.2010";"92%";"0d747c0b2dd5781887ce3d83356491d9";"7de6d8e260179182";"11795";"Wed Jul  8 23:53:37 2020"
"Schulzdialog Dienstleistungs GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"03.02.2010";"92%";"0d747c0b2dd5781887ce3d83356491d9";"00185e07e2eb8810";"11795";"Wed Jul  8 23:53:37 2020"
"Schulzdialog Gesellschaft für elektronisches Publizieren mbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"11.01.2010";"92%";"0d747c0b2dd5781887ce3d83356491d9";"64f4c2c833b64066";"11795";"Wed Jul  8 23:53:37 2020"
"Schulzdialog GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"20.02.2009";"92%";"0d747c0b2dd5781887ce3d83356491d9";"818525412eba0c0c";"11795";"Wed Jul  8 23:53:37 2020"
"Schulzdialog GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"12.03.2008";"92%";"0d747c0b2dd5781887ce3d83356491d9";"df1ae100959d0de9";"11795";"Wed Jul  8 23:53:37 2020"
