"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Simufact Engineering GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"02.12.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"77ca1acc3555a78c";"96131";"Thu Jul  9 00:14:50 2020"
"Simufact Engineering GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"14.01.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"9adae4c10d0f06e1";"96131";"Thu Jul  9 00:14:50 2020"
"Simufact Engineering GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"18.04.2018";"95%";"0d747c0b2dd5781887ce3d83356491d9";"15f5efab4efe37c8";"96131";"Thu Jul  9 00:14:50 2020"
"Simufact Engineering GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"21.04.2017";"95%";"0d747c0b2dd5781887ce3d83356491d9";"fe14a96fce9ec1f0";"96131";"Thu Jul  9 00:14:50 2020"
"Simufact Engineering GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"10.12.2015";"95%";"0d747c0b2dd5781887ce3d83356491d9";"449ffb0eb10a67d4";"96131";"Thu Jul  9 00:14:50 2020"
"Simufact Engineering GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"27.01.2015";"95%";"0d747c0b2dd5781887ce3d83356491d9";"1a8c430a323128d1";"96131";"Thu Jul  9 00:14:50 2020"
"Simufact Engineering GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"06.11.2013";"95%";"0d747c0b2dd5781887ce3d83356491d9";"78b4724b87efda72";"96131";"Thu Jul  9 00:14:50 2020"
"Simufact Engineering GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"21.01.2013";"95%";"0d747c0b2dd5781887ce3d83356491d9";"9ad2439f4fcc8dee";"96131";"Thu Jul  9 00:14:50 2020"
"Simufact Engineering GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"13.01.2012";"95%";"0d747c0b2dd5781887ce3d83356491d9";"df7065a33452c107";"96131";"Thu Jul  9 00:14:50 2020"
"Simufact Engineering GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"11.01.2011";"95%";"0d747c0b2dd5781887ce3d83356491d9";"7a78ee4fa0af9f0f";"96131";"Thu Jul  9 00:14:50 2020"
"Simufact Engineering GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"22.01.2010";"95%";"0d747c0b2dd5781887ce3d83356491d9";"d6d50e1ebb8abccf";"96131";"Thu Jul  9 00:14:50 2020"
"Simufact Engineering GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"14.01.2009";"95%";"0d747c0b2dd5781887ce3d83356491d9";"9709fc21084ed6e7";"96131";"Thu Jul  9 00:14:50 2020"
