"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"SoftAge Solutions GmbH Grassau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"16.12.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"2585f01b20b8d7c2";"14481";"Wed Jul  8 23:44:49 2020"
"SoftAge Solutions GmbH Grassau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"04.01.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"db23eb005946c6ab";"14481";"Wed Jul  8 23:44:49 2020"
"SoftAge Solutions GmbH Grassau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"09.03.2018";"95%";"0d747c0b2dd5781887ce3d83356491d9";"d0bc137fad62630e";"14481";"Wed Jul  8 23:44:49 2020"
"SoftAge Solutions GmbH Grassau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"28.10.2016";"95%";"0d747c0b2dd5781887ce3d83356491d9";"de7543b00522b376";"14481";"Wed Jul  8 23:44:49 2020"
"SoftAge Solutions GmbH Grassau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"09.11.2015";"95%";"0d747c0b2dd5781887ce3d83356491d9";"0a6d11568910ce06";"14481";"Wed Jul  8 23:44:49 2020"
"SoftAge Solutions GmbH Grassau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"10.02.2015";"95%";"0d747c0b2dd5781887ce3d83356491d9";"0577886edbc8a005";"14481";"Wed Jul  8 23:44:49 2020"
"SoftAge Solutions GmbH Grassau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"05.02.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"d45fb37e59f38234";"14481";"Wed Jul  8 23:44:49 2020"
"SoftAge Solutions GmbH Grassau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"05.03.2013";"95%";"0d747c0b2dd5781887ce3d83356491d9";"fff36c11be92cc9b";"14481";"Wed Jul  8 23:44:49 2020"
"SoftAge Solutions GmbH Grassau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"27.02.2012";"95%";"0d747c0b2dd5781887ce3d83356491d9";"ec9b0708916be1b9";"14481";"Wed Jul  8 23:44:49 2020"
"SoftAge Solutions GmbH Grassau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"07.02.2011";"95%";"0d747c0b2dd5781887ce3d83356491d9";"5ec0ef0046d58564";"14481";"Wed Jul  8 23:44:49 2020"
"SoftAge Solutions GmbH Grassau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"03.02.2010";"95%";"0d747c0b2dd5781887ce3d83356491d9";"2ac8a98b05e60116";"14481";"Wed Jul  8 23:44:49 2020"
"SoftAge Solutions GmbH Grassau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"12.06.2009";"95%";"0d747c0b2dd5781887ce3d83356491d9";"9d57745f6ba75efb";"14481";"Wed Jul  8 23:44:49 2020"
"SOFTAGE Solutions GmbH Grassau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"16.07.2008";"95%";"0d747c0b2dd5781887ce3d83356491d9";"2d360274bf377073";"14481";"Wed Jul  8 23:44:49 2020"
