"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Sopheon GmbH Darmstadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"05.02.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"db883c2eb29922e7";"64811";"Wed Jul  8 23:51:23 2020"
"Sopheon Business Applications GmbH Darmstadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"19.11.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"408bd118ec2d4cc5";"64811";"Wed Jul  8 23:51:23 2020"
"Sopheon GmbH Darmstadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"03.01.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"e16e5797b7d23f69";"64811";"Wed Jul  8 23:51:23 2020"
"Sopheon Business Applications GmbH Darmstadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"20.12.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"6f10df88b86ccf2d";"64811";"Wed Jul  8 23:51:23 2020"
"Sopheon Vertriebs GmbH Darmstadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"24.01.2018";"92%";"0d747c0b2dd5781887ce3d83356491d9";"dac40796efb0c21a";"64811";"Wed Jul  8 23:51:23 2020"
"Sopheon Business Applications GmbH Darmstadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"04.01.2018";"92%";"0d747c0b2dd5781887ce3d83356491d9";"c9bc32f2bfcea5b0";"64811";"Wed Jul  8 23:51:23 2020"
"Sopheon GmbH Darmstadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"11.01.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"30e78654df6e5e1f";"64811";"Wed Jul  8 23:51:23 2020"
"Sopheon Business Applications GmbH Darmstadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"04.01.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"7d79341c33f27fde";"64811";"Wed Jul  8 23:51:23 2020"
"Sopheon GmbH (vormals: Sopheon Vertriebs GmbH) Darmstadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"22.01.2016";"92%";"0d747c0b2dd5781887ce3d83356491d9";"2b06c2a598c90afe";"64811";"Wed Jul  8 23:51:23 2020"
"Sopheon Business Applications GmbH Darmstadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"11.01.2016";"92%";"0d747c0b2dd5781887ce3d83356491d9";"c99aba6c1f93f809";"64811";"Wed Jul  8 23:51:23 2020"
"Sopheon Business Applications GmbH Darmstadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"14.01.2015";"92%";"0d747c0b2dd5781887ce3d83356491d9";"a70708d05df2a7ac";"64811";"Wed Jul  8 23:51:23 2020"
"Sopheon Business Applications GmbH Darmstadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"14.03.2014";"92%";"0d747c0b2dd5781887ce3d83356491d9";"d37939e4a973e2d2";"64811";"Wed Jul  8 23:51:23 2020"
"Sopheon Business Applications GmbH Darmstadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"11.01.2013";"92%";"0d747c0b2dd5781887ce3d83356491d9";"07a42fe8888cd06d";"64811";"Wed Jul  8 23:51:23 2020"
