"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Spielbank Berlin Entertainment GmbH & Co. KG Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017 Berichtigung der Veröffentlichung vom 30.01.2019";"21.04.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"7e5b0c3fcb7434f2";"39100";"Wed Jul  8 23:24:50 2020"
"Spielbank Sylt GmbH Sylt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"24.03.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"fa92df948b62901f";"39100";"Wed Jul  8 23:24:50 2020"
"Spielbank Flensburg GmbH Flensburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"24.03.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"5c4c5c16e61ef9b5";"39100";"Wed Jul  8 23:24:50 2020"
"Spielbank Kiel GmbH Kiel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"24.03.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"ff28899caa9d5291";"39100";"Wed Jul  8 23:24:50 2020"
"Spielbank SH GmbH Kiel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"24.03.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"a5f1b0f01cd996d3";"39100";"Wed Jul  8 23:24:50 2020"
"Spielbank Lübeck GmbH Lübeck";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"16.03.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"bc04eda1df02aae6";"39100";"Wed Jul  8 23:24:50 2020"
"Spielbank Schenefeld GmbH Schenefeld/Krs. Pinneberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"11.03.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"b79c1e313587675f";"39100";"Wed Jul  8 23:24:50 2020"
"Spielbank Berlin Entertainment GmbH & Co. KG Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"03.03.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"59712310c17ad4ad";"39100";"Wed Jul  8 23:24:50 2020"
"NOVOMATIC Spielbanken Holding Deutschland Verwaltungs GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"17.02.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"df8afb4630f8c065";"39100";"Wed Jul  8 23:24:50 2020"
"Kurhessische Spielbank Kassel/Bad Wildungen GmbH & Co. KG Kassel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"17.02.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"6eb4a5ed79d48c8e";"39100";"Wed Jul  8 23:24:50 2020"
