"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Spielberg Solutions GmbH Duisburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"03.02.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"8242b8fe0b1c7907";"21054";"Wed Jul  8 23:42:11 2020"
"Spielberg Solutions GmbH Duisburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"24.01.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"2a287fb2c5077d4f";"21054";"Wed Jul  8 23:42:11 2020"
"Spielberg Solutions GmbH Duisburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"21.02.2018";"95%";"0d747c0b2dd5781887ce3d83356491d9";"a61d4c988b650639";"21054";"Wed Jul  8 23:42:11 2020"
"Spielberg Solutions GmbH Duisburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"12.01.2017";"95%";"0d747c0b2dd5781887ce3d83356491d9";"bc029c6626fd6a8c";"21054";"Wed Jul  8 23:42:11 2020"
"Spielberg Solutions GmbH Duisburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"04.01.2016";"95%";"0d747c0b2dd5781887ce3d83356491d9";"43138a422b4e9939";"21054";"Wed Jul  8 23:42:11 2020"
"Spielberg Solutions GmbH Duisburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"06.01.2015";"95%";"0d747c0b2dd5781887ce3d83356491d9";"ae2c9c3f71ccd611";"21054";"Wed Jul  8 23:42:11 2020"
"Spielberg Solutions GmbH Duisburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"10.07.2013";"95%";"0d747c0b2dd5781887ce3d83356491d9";"d0de3f116c841208";"21054";"Wed Jul  8 23:42:11 2020"
"Spielberg Solutions GmbH Duisburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"03.12.2012";"95%";"0d747c0b2dd5781887ce3d83356491d9";"af810a26274500b5";"21054";"Wed Jul  8 23:42:11 2020"
"Spielberg Solutions GmbH Duisburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"16.03.2012";"95%";"0d747c0b2dd5781887ce3d83356491d9";"a482da2eee1bdc8e";"21054";"Wed Jul  8 23:42:11 2020"
"Spielberg Solutions GmbH (vormals: Dieter Spielberg Document Management Systems GmbH) Duisburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"27.01.2011";"95%";"0d747c0b2dd5781887ce3d83356491d9";"17115874ec3ab203";"21054";"Wed Jul  8 23:42:11 2020"
