"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Spielwarenmesse eG Nürnberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"01.07.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"ec27df4336747458";"13175";"Wed Jul  8 22:56:06 2020"
"Spielwarenmesse eG Nürnberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"07.06.2018";"92%";"0d747c0b2dd5781887ce3d83356491d9";"34ad4e3aa3db7fbb";"13175";"Wed Jul  8 22:56:06 2020"
"Spielwarenmesse eG Nürnberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"01.06.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"10738e073de3b2c3";"13175";"Wed Jul  8 22:56:06 2020"
"Spielwarenmesse eG Nürnberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"02.08.2016";"92%";"0d747c0b2dd5781887ce3d83356491d9";"955ec8138b9461e9";"13175";"Wed Jul  8 22:56:06 2020"
"Spielwarenmesse eG Nürnberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"03.07.2015";"92%";"0d747c0b2dd5781887ce3d83356491d9";"af4bcf5629e7ed67";"13175";"Wed Jul  8 22:56:06 2020"
"Spielwarenmesse eG Nürnberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"02.09.2014";"92%";"0d747c0b2dd5781887ce3d83356491d9";"43475da6611ecefd";"13175";"Wed Jul  8 22:56:06 2020"
"Spielwarenmesse eG Nürnberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"12.08.2013";"92%";"0d747c0b2dd5781887ce3d83356491d9";"e3a6d30e07f1f580";"13175";"Wed Jul  8 22:56:06 2020"
"Spielwarenmesse eG Nürnberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"14.06.2012";"92%";"0d747c0b2dd5781887ce3d83356491d9";"38abef07f5eafd33";"13175";"Wed Jul  8 22:56:06 2020"
"Spielwarenmesse eG Nürnberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"14.06.2011";"92%";"0d747c0b2dd5781887ce3d83356491d9";"67603600e70a7adb";"13175";"Wed Jul  8 22:56:06 2020"
"Spielwarenmesse eG Nürnberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"17.08.2010";"92%";"0d747c0b2dd5781887ce3d83356491d9";"e28925ee82d50963";"13175";"Wed Jul  8 22:56:06 2020"
"Spielwarenmesse eG Nürnberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"14.08.2009";"92%";"0d747c0b2dd5781887ce3d83356491d9";"90091c65c229a24d";"13175";"Wed Jul  8 22:56:06 2020"
"Spielwarenmesse eG Nürnberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2007";"29.07.2008";"92%";"0d747c0b2dd5781887ce3d83356491d9";"37085d98344e0f58";"13175";"Wed Jul  8 22:56:06 2020"
"Spielwarenmesse eG Nürnberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31. Dezember 2006";"06.11.2007";"92%";"0d747c0b2dd5781887ce3d83356491d9";"7d2969e398830472";"13175";"Wed Jul  8 22:56:06 2020"
