"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"StepOver International GmbH Stuttgart";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"02.03.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"656f258240e90c41";"07948";"Wed Jul  8 23:59:13 2020"
"StepOver GmbH Stuttgart";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"18.02.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"943142f429e2b0c4";"07948";"Wed Jul  8 23:59:13 2020"
"StepOver International GmbH Stuttgart";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"30.01.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"08f9dbd435f7effd";"07948";"Wed Jul  8 23:59:13 2020"
"StepOver GmbH Stuttgart";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"18.01.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"03c56797f090be60";"07948";"Wed Jul  8 23:59:13 2020"
"StepOver International GmbH Stuttgart";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"13.09.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"648e853859d12ac2";"07948";"Wed Jul  8 23:59:13 2020"
"StepOver GmbH Stuttgart";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"13.09.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"98f7d4a18390cbd3";"07948";"Wed Jul  8 23:59:13 2020"
"StepOver GmbH Stuttgart";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"07.06.2016";"92%";"0d747c0b2dd5781887ce3d83356491d9";"f66b927cecb49d80";"07948";"Wed Jul  8 23:59:13 2020"
"StepOver GmbH Stuttgart";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"18.09.2015";"92%";"0d747c0b2dd5781887ce3d83356491d9";"2a98f7890d949ebc";"07948";"Wed Jul  8 23:59:13 2020"
"StepOver GmbH Stuttgart";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"13.11.2014";"92%";"0d747c0b2dd5781887ce3d83356491d9";"9af61175f633267c";"07948";"Wed Jul  8 23:59:13 2020"
"StepOver GmbH Stuttgart";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"08.01.2014";"92%";"0d747c0b2dd5781887ce3d83356491d9";"e8e093b8ef1a75c3";"07948";"Wed Jul  8 23:59:13 2020"
"StepOver International GmbH Berg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 14.01.2011 bis zum 31.12.2011";"17.01.2013";"92%";"0d747c0b2dd5781887ce3d83356491d9";"08b21e7378a71bae";"07948";"Wed Jul  8 23:59:13 2020"
"StepOver GmbH Stuttgart";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"10.01.2013";"92%";"0d747c0b2dd5781887ce3d83356491d9";"7a9eabd21939c7ac";"07948";"Wed Jul  8 23:59:13 2020"
"StepOver GmbH Stuttgart";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"02.09.2011";"92%";"0d747c0b2dd5781887ce3d83356491d9";"a147fb2ee3bca9cd";"07948";"Wed Jul  8 23:59:13 2020"
"StepOver GmbH Stuttgart";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"10.08.2010";"92%";"0d747c0b2dd5781887ce3d83356491d9";"65446d8a9ac97c99";"07948";"Wed Jul  8 23:59:13 2020"
"StepOver GmbH Stuttgart";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"18.06.2009";"92%";"0d747c0b2dd5781887ce3d83356491d9";"6b9a3a2fcdcc96d8";"07948";"Wed Jul  8 23:59:13 2020"
"StepOver GmbH Stuttgart";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2007";"31.12.2008";"92%";"0d747c0b2dd5781887ce3d83356491d9";"b35a58fe79a76d90";"07948";"Wed Jul  8 23:59:13 2020"
"StepOver GmbH 70599 Stuttgart";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"15.01.2008";"92%";"0d747c0b2dd5781887ce3d83356491d9";"5a4f33a4e20b3421";"07948";"Wed Jul  8 23:59:13 2020"
