"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"SICS Strategic IT Consulting Services Gesellschaft mit beschränkter Haftung Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"24.01.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"743be64f82aecf53";"81360";"Wed Jul  8 22:39:02 2020"
"SICS Strategic IT Consulting Services Gesellschaft mit beschränkter Haftung Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"27.12.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"547fab2d7e196663";"81360";"Wed Jul  8 22:39:02 2020"
"SICS Strategic IT Consulting Services Gesellschaft mit beschränkter Haftung Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"27.12.2017";"95%";"0d747c0b2dd5781887ce3d83356491d9";"fe567fb537742868";"81360";"Wed Jul  8 22:39:02 2020"
"SICS Strategic IT Consulting Services Gesellschaft mit beschränkter Haftung Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"19.08.2016";"95%";"0d747c0b2dd5781887ce3d83356491d9";"75443677cd4b368d";"81360";"Wed Jul  8 22:39:02 2020"
"SICS Strategic IT Consulting Services Gesellschaft mit beschränkter Haftung Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"03.11.2015";"95%";"0d747c0b2dd5781887ce3d83356491d9";"be23602fd61a5878";"81360";"Wed Jul  8 22:39:02 2020"
"SICS Strategic IT Consulting Services Gesellschaft mit beschränkter Haftung Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"05.08.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"9d734b35d1da9847";"81360";"Wed Jul  8 22:39:02 2020"
"SICS Strategic IT Consulting Services Gesellschaft mit beschränkter Haftung Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"19.12.2013";"95%";"0d747c0b2dd5781887ce3d83356491d9";"9442732ff1d6f499";"81360";"Wed Jul  8 22:39:02 2020"
"SICS Strategic IT Consulting Services Gesellschaft mit beschränkter Haftung Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"17.12.2012";"95%";"0d747c0b2dd5781887ce3d83356491d9";"30dcf19fb2cfb9e8";"81360";"Wed Jul  8 22:39:02 2020"
"SICS Strategic IT Consulting Services Gesellschaft mit beschränkter Haftung Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"03.02.2012";"95%";"0d747c0b2dd5781887ce3d83356491d9";"ea5c8bfae40cd019";"81360";"Wed Jul  8 22:39:02 2020"
"SICS Strategic IT Consulting Services Gesellschaft mit beschränkter Haftung Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"14.02.2011";"95%";"0d747c0b2dd5781887ce3d83356491d9";"2caef0290a0ed552";"81360";"Wed Jul  8 22:39:02 2020"
