"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Sylphen GmbH & Co KG Gießen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"10.01.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"61b48d2eb553b9cf";"70843";"Wed Jul  8 23:56:10 2020"
"Sylphen GmbH & Co KG Gießen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"28.01.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"0c1cd7ca3a2e42bf";"70843";"Wed Jul  8 23:56:10 2020"
"Sylphen GmbH & Co KG Gießen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"08.11.2017";"97%";"0d747c0b2dd5781887ce3d83356491d9";"3f87d0745741cd41";"70843";"Wed Jul  8 23:56:10 2020"
"Sylphen GmbH & Co KG Gießen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"26.01.2017";"97%";"0d747c0b2dd5781887ce3d83356491d9";"bb931478b0fa9bcc";"70843";"Wed Jul  8 23:56:10 2020"
"Sylphen GmbH & Co KG Gießen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"20.01.2016";"97%";"0d747c0b2dd5781887ce3d83356491d9";"688b02be1b73557c";"70843";"Wed Jul  8 23:56:10 2020"
"Sylphen GmbH & Co KG Gießen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"22.01.2015";"97%";"0d747c0b2dd5781887ce3d83356491d9";"d5fe97ba23a115fa";"70843";"Wed Jul  8 23:56:10 2020"
"Sylphen GmbH & Co KG Gießen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"22.01.2014";"97%";"0d747c0b2dd5781887ce3d83356491d9";"3b981192787fbe70";"70843";"Wed Jul  8 23:56:10 2020"
"Sylphen GmbH & Co KG Gießen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"08.01.2013";"97%";"0d747c0b2dd5781887ce3d83356491d9";"63ed6e1d965c4b4b";"70843";"Wed Jul  8 23:56:10 2020"
"Sylphen GmbH & Co KG Gießen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"09.02.2012";"97%";"0d747c0b2dd5781887ce3d83356491d9";"28919640288775c8";"70843";"Wed Jul  8 23:56:10 2020"
"Sylphen GmbH & Co KG Gießen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"07.12.2010";"97%";"0d747c0b2dd5781887ce3d83356491d9";"689b1ef4f162ff3d";"70843";"Wed Jul  8 23:56:10 2020"
"Sylphen GmbH & Co KG Gießen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"07.01.2010";"97%";"0d747c0b2dd5781887ce3d83356491d9";"99ede3433f7b733f";"70843";"Wed Jul  8 23:56:10 2020"
"SYLPHEN GmbH & Co. KG Gießen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"15.01.2009";"97%";"0d747c0b2dd5781887ce3d83356491d9";"69275e6738de898c";"70843";"Wed Jul  8 23:56:10 2020"
"SYLPHEN GmbH & Co. KG Gießen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"11.01.2008";"97%";"0d747c0b2dd5781887ce3d83356491d9";"0e453a687f41acbd";"70843";"Wed Jul  8 23:56:10 2020"
