"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"SYSTEMA Gesellschaft für Immobiliendienstleistungen mbH Pöcking";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"07.04.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"280bd047e94351af";"78974";"Thu Jul  9 00:06:58 2020"
"Systema Immobilien GmbH Pöcking";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"06.04.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"5582052a62a432bd";"78974";"Thu Jul  9 00:06:58 2020"
"Systema Elektroanlagen GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"25.03.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"0d2832d6e695097a";"78974";"Thu Jul  9 00:06:58 2020"
"SystemA Engineering Gesellschaft für Systemanalyse mbH Immenstaad am Bodensee";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"05.03.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"308ae077e09e2466";"78974";"Thu Jul  9 00:06:58 2020"
"SYSTEMA Systementwicklung Dipl.-Inf. Manfred Austen GmbH Dresden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"19.02.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"24868a70fc76e134";"78974";"Thu Jul  9 00:06:58 2020"
"Haitz Systema GmbH Günding,  Gde. Bergkirchen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"03.01.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"0856f871e8821d57";"78974";"Thu Jul  9 00:06:58 2020"
"SYSTEMA Gesellschaft für angewandte Datentechnik mbH Potsdam";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"21.10.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"23ff82cc4cf08dda";"78974";"Thu Jul  9 00:06:58 2020"
"Systema Fertigteilbau GmbH Bensheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"26.09.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"b0dbd68e1e37aae3";"78974";"Thu Jul  9 00:06:58 2020"
"Systema Computer Vertriebs-GmbH Haan";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"29.07.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"73ba6cfb817c7879";"78974";"Thu Jul  9 00:06:58 2020"
"Systema Gesellschaft für Organisationsentwicklung mbH Bielefeld";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"28.06.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"c5cd8419c30323fb";"78974";"Thu Jul  9 00:06:58 2020"
"SYSTEMA Gesellschaft für Immobiliendienstleistungen mbH Pöcking";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"29.05.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"ef705ff44582eb8b";"78974";"Thu Jul  9 00:06:58 2020"
"Systema Bau GmbH & Co. KG Schutterwald";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"21.05.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"11ab8e8848cd0fa6";"78974";"Thu Jul  9 00:06:58 2020"
