"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"TNT Akademie Gesellschaft für Training und Personalentwicklung mbH Troisdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.06.2018 bis zum 31.05.2019";"20.05.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"9714dbcc4df2a1e2";"65593";"Wed Jul  8 22:34:59 2020"
"TNT Akademie Gesellschaft für Training und Personalentwicklung mbH Troisdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.06.2017 bis zum 31.05.2018";"03.06.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"1719eb4f6312c248";"65593";"Wed Jul  8 22:34:59 2020"
"TNT Akademie Gesellschaft für Training und Personalentwicklung mbH Troisdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.05.2017 Berichtigung der Veröffentlichung vom 03.09.2018";"15.03.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"58e0af1ba6aba29e";"65593";"Wed Jul  8 22:34:59 2020"
"TNT Akademie Gesellschaft für Training und Personalentwicklung mbH Troisdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016 Ergänzung der Veröffentlichung vom 22.05.2018";"27.02.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"deafaafd23e8c833";"65593";"Wed Jul  8 22:34:59 2020"
"TNT Akademie Gesellschaft für Training und Personalentwicklung mbH Troisdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.05.2017 Berichtigt am 15.03.2019";"03.09.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"cf9d215eb46a1f27";"65593";"Wed Jul  8 22:34:59 2020"
"TNT Akademie Gesellschaft für Training und Personalentwicklung mbH Troisdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016 Ergänzt am 27.02.2019";"22.05.2018";"99%";"0d747c0b2dd5781887ce3d83356491d9";"a40790501c0bd52c";"65593";"Wed Jul  8 22:34:59 2020"
"TNT Akademie Gesellschaft für Training und Personalentwicklung mbH Troisdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"18.04.2016";"99%";"0d747c0b2dd5781887ce3d83356491d9";"0800443cfb385de5";"65593";"Wed Jul  8 22:34:59 2020"
"TNT Akademie Gesellschaft für Training und Personalentwicklung mbH Troisdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"28.04.2015";"99%";"0d747c0b2dd5781887ce3d83356491d9";"cd2eb8d9719a0d34";"65593";"Wed Jul  8 22:34:59 2020"
"TNT Akademie Gesellschaft für Training und Personalentwicklung mbH Troisdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"30.04.2014";"99%";"0d747c0b2dd5781887ce3d83356491d9";"2ce328345fd29633";"65593";"Wed Jul  8 22:34:59 2020"
"TNT Akademie Gesellschaft für Training und Personalentwicklung mbH Troisdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"21.05.2013";"99%";"0d747c0b2dd5781887ce3d83356491d9";"a45fea08ac7eaea7";"65593";"Wed Jul  8 22:34:59 2020"
"TNT Akademie Gesellschaft für Training und Personalentwicklung mbH Troisdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"07.05.2012";"99%";"0d747c0b2dd5781887ce3d83356491d9";"2a9d250cfb07de6d";"65593";"Wed Jul  8 22:34:59 2020"
"TNT Akademie Gesellschaft für Training und Personalentwicklung mbH Troisdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"29.04.2011";"99%";"0d747c0b2dd5781887ce3d83356491d9";"9fffd527adc010dd";"65593";"Wed Jul  8 22:34:59 2020"
