"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"TRIVIT AG Ravensburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"19.12.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"ada61b090d794853";"28525";"Wed Jul  8 23:56:07 2020"
"TRIVIT AG Ravensburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"10.01.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"004f51e3d3af0578";"28525";"Wed Jul  8 23:56:07 2020"
"TRIVIT AG Ravensburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"09.01.2018";"92%";"0d747c0b2dd5781887ce3d83356491d9";"a736fdc995024c18";"28525";"Wed Jul  8 23:56:07 2020"
"TRIVIT AG Ravensburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"30.12.2016";"92%";"0d747c0b2dd5781887ce3d83356491d9";"e31777d0391e4b75";"28525";"Wed Jul  8 23:56:07 2020"
"TRIVIT AG Ravensburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"23.12.2015";"92%";"0d747c0b2dd5781887ce3d83356491d9";"44804cc61a94802f";"28525";"Wed Jul  8 23:56:07 2020"
"TRIVIT AG Ravensburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"16.12.2014";"92%";"0d747c0b2dd5781887ce3d83356491d9";"9f12c830d0ff3c0f";"28525";"Wed Jul  8 23:56:07 2020"
"TRIVIT AG Ravensburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"20.12.2013";"92%";"0d747c0b2dd5781887ce3d83356491d9";"7b2d7b0008bccbab";"28525";"Wed Jul  8 23:56:07 2020"
"TRIVIT AG Ravensburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"20.12.2012";"92%";"0d747c0b2dd5781887ce3d83356491d9";"cb60d30c4f3bf1d8";"28525";"Wed Jul  8 23:56:07 2020"
"TRIVIT AG Ravensburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"30.12.2011";"92%";"0d747c0b2dd5781887ce3d83356491d9";"340940d2bd5ff54b";"28525";"Wed Jul  8 23:56:07 2020"
"TRIVIT AG Ravensburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"25.01.2011";"92%";"0d747c0b2dd5781887ce3d83356491d9";"362d6447e00f85c5";"28525";"Wed Jul  8 23:56:07 2020"
"TRIVIT AG Ravensburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"12.03.2010";"92%";"0d747c0b2dd5781887ce3d83356491d9";"e8ac77615be1459f";"28525";"Wed Jul  8 23:56:07 2020"
"TRIVIT AG Ravensburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2007";"14.07.2008";"92%";"0d747c0b2dd5781887ce3d83356491d9";"2d44d73d13d181a2";"28525";"Wed Jul  8 23:56:07 2020"
"TRIVIT AG Ravensburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"17.01.2008";"92%";"0d747c0b2dd5781887ce3d83356491d9";"888a7f5ae058652b";"28525";"Wed Jul  8 23:56:07 2020"
