"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"ProTeam Wöhner & Börkey GmbH und Co. KG Trockenbau Meisterbetrieb München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"20.03.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"d0d44d4b01e87122";"39018";"Wed Jul  8 23:11:11 2020"
"IN-PRO-TEAM Service GmbH & Co. KG Ingolstadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"09.03.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"ff3306614ce6b15e";"39018";"Wed Jul  8 23:11:11 2020"
"Team Pro GmbH & Co. KG Rosenheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"23.05.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"7374fe66838c1a5a";"39018";"Wed Jul  8 23:11:11 2020"
"ProTeam Wöhner & Börkey GmbH und Co. KG Trockenbau Meisterbetrieb München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"16.04.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"d1c728a360bd9ba7";"39018";"Wed Jul  8 23:11:11 2020"
"IN-PRO-TEAM Service GmbH & Co. KG (vormals: IN-PRO-TEAM Service KG) Gaimersheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"31.01.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"56b6db604a25097d";"39018";"Wed Jul  8 23:11:11 2020"
"Team Pro GmbH & Co. KG Rosenheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"23.10.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"219356a825fd967d";"39018";"Wed Jul  8 23:11:11 2020"
"IN-PRO-TEAM Service GmbH & Co. KG Ingolstadt (vormals: Gaimersheim)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"22.01.2018";"98%";"0d747c0b2dd5781887ce3d83356491d9";"506f98a4b0135eda";"39018";"Wed Jul  8 23:11:11 2020"
"ProTeam Wöhner & Börkey GmbH und Co. KG Trockenbau Meisterbetrieb München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"10.01.2018";"98%";"0d747c0b2dd5781887ce3d83356491d9";"7e3889940b008026";"39018";"Wed Jul  8 23:11:11 2020"
"Team Pro GmbH & Co. KG Rosenheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"18.10.2017";"98%";"0d747c0b2dd5781887ce3d83356491d9";"ad7d1d3c114f9a25";"39018";"Wed Jul  8 23:11:11 2020"
"Team Pro GmbH & Co. KG Rosenheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"08.03.2017";"98%";"0d747c0b2dd5781887ce3d83356491d9";"a2f1e99ab4e7f648";"39018";"Wed Jul  8 23:11:11 2020"
"ProTeam Wöhner & Börkey GmbH und Co. KG Trockenbau Meisterbetrieb München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"23.01.2017";"98%";"0d747c0b2dd5781887ce3d83356491d9";"315eee5d7a0c1e2e";"39018";"Wed Jul  8 23:11:11 2020"
"IN-PRO-TEAM Service GmbH & Co. KG Gaimersheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"09.01.2017";"98%";"0d747c0b2dd5781887ce3d83356491d9";"1a4b1c46c74214d7";"39018";"Wed Jul  8 23:11:11 2020"
"ProTeam Wöhner & Börkey GmbH und Co. KG Trockenbau Meisterbetrieb München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"15.06.2016";"98%";"0d747c0b2dd5781887ce3d83356491d9";"5cfdce5da0a4e7d7";"39018";"Wed Jul  8 23:11:11 2020"
"IN-PRO-TEAM Service GmbH & Co. KG Gaimersheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"15.01.2016";"98%";"0d747c0b2dd5781887ce3d83356491d9";"2c901e0b0305a797";"39018";"Wed Jul  8 23:11:11 2020"
