"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Teamgeist AG Heidesee";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"06.04.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"4f6f7dc718f2dc1c";"76727";"Wed Jul  8 23:09:32 2020"
"Teamgeist AG Heidesee";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"07.02.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"e9b68c546df1cce8";"76727";"Wed Jul  8 23:09:32 2020"
"Teamgeist AG Heidesee";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"21.12.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"4dc31847c054a5cb";"76727";"Wed Jul  8 23:09:32 2020"
"Teamgeist AG Heidesee";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"12.01.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"982dee67db9113b2";"76727";"Wed Jul  8 23:09:32 2020"
"Teamgeist AG Heidesee";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"25.02.2016";"92%";"0d747c0b2dd5781887ce3d83356491d9";"a2e99082c99b8c44";"76727";"Wed Jul  8 23:09:32 2020"
"FORIS AG Bonn";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2019";"21.08.2019";"67%";"0d747c0b2dd5781887ce3d83356491d9";"67e2132b3da78807";"76727";"Wed Jul  8 23:09:32 2020"
"SV SparkassenVersicherung Holding Aktiengesellschaft Stuttgart";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"12.06.2018";"59%";"0d747c0b2dd5781887ce3d83356491d9";"51ed02ded799e3ce";"76727";"Wed Jul  8 23:09:32 2020"
"Berlin Hyp AG Berlin";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzeller Unternehmensbericht der Berln Hyp AG für das Jahr 2017";"12.06.2018";"59%";"0d747c0b2dd5781887ce3d83356491d9";"c426afe003190edd";"76727";"Wed Jul  8 23:09:32 2020"
"UBS Deutschland AG Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2011";"05.09.2011";"59%";"0d747c0b2dd5781887ce3d83356491d9";"5fc58f9f4bc71433";"76727";"Wed Jul  8 23:09:32 2020"
"SGL Carbon SE Wiesbaden";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"13.05.2019";"17%";"0d747c0b2dd5781887ce3d83356491d9";"c4d26fbd4ff190a5";"76727";"Wed Jul  8 23:09:32 2020"
