"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"TechnoSoft Consulting GmbH Buchholz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"18.07.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"95753d9ea730cc41";"18860";"Thu Jul  9 00:06:29 2020"
"TechnoSoft Consulting GmbH Buchholz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"06.04.2017";"95%";"0d747c0b2dd5781887ce3d83356491d9";"9ab894253b72aa69";"18860";"Thu Jul  9 00:06:29 2020"
"TechnoSoft Consulting GmbH Buchholz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"02.05.2016";"95%";"0d747c0b2dd5781887ce3d83356491d9";"8c2b823638b45c54";"18860";"Thu Jul  9 00:06:29 2020"
"TechnoSoft Consulting GmbH Buchholz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"03.08.2015";"95%";"0d747c0b2dd5781887ce3d83356491d9";"f2e9376d8a32c016";"18860";"Thu Jul  9 00:06:29 2020"
"TechnoSoft Consulting GmbH Buchholz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"18.11.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"68f4cc4c16855157";"18860";"Thu Jul  9 00:06:29 2020"
"TechnoSoft Consulting GmbH Buchholz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"10.01.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"38036fd66e3f21ad";"18860";"Thu Jul  9 00:06:29 2020"
"TechnoSoft Consulting GmbH Buchholz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"12.11.2012";"95%";"0d747c0b2dd5781887ce3d83356491d9";"363383093b134bc0";"18860";"Thu Jul  9 00:06:29 2020"
"TechnoSoft Consulting GmbH Buchholz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"22.12.2011";"95%";"0d747c0b2dd5781887ce3d83356491d9";"3ce58ca2a2284dc0";"18860";"Thu Jul  9 00:06:29 2020"
"TechnoSoft Consulting GmbH Buchholz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"17.12.2010";"95%";"0d747c0b2dd5781887ce3d83356491d9";"06e090f1158e65cd";"18860";"Thu Jul  9 00:06:29 2020"
"TechnoSoft Consulting GmbH Buchholz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"18.12.2009";"95%";"0d747c0b2dd5781887ce3d83356491d9";"39ddfbfb7b28b246";"18860";"Thu Jul  9 00:06:29 2020"
"TechnoSoft Consulting GmbH Buchholz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"13.01.2009";"95%";"0d747c0b2dd5781887ce3d83356491d9";"d1e2df049a4e4fc7";"18860";"Thu Jul  9 00:06:29 2020"
"TechnoSoft Consulting GmbH Buchholz/N.";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006 Berichtigung";"10.01.2008";"95%";"0d747c0b2dd5781887ce3d83356491d9";"5bcbd2d1187d9d3d";"18860";"Thu Jul  9 00:06:29 2020"
