"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Twentieth Century Fox Home Entertainment Germany GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.06.2018 bis zum 31.05.2019 News Germany Holding GmbH (Berlin)";"17.07.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"d7c02af2f0fdae61";"33798";"Thu Jul  9 00:00:41 2020"
"Twentieth Century Fox Home Entertainment Germany GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.06.2017 bis zum 31.05.2018 News Germany Holding GmbH (Berlin)";"29.06.2018";"99%";"0d747c0b2dd5781887ce3d83356491d9";"283febeb000e29f4";"33798";"Thu Jul  9 00:00:41 2020"
"News Germany Holding GmbH Berlin";"» Konzernabschluss zum Geschäftsjahr vom 01.07.2017 bis zum 30.06.2018";"09.07.2019";"0d747c0b2dd5781887ce3d83356491d9";"283febeb000e29f4";"33798";"Thu Jul  9 00:00:41 2020";"";""
"Twentieth Century Fox Home Entertainment Germany GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.06.2016 bis zum 31.05.2017 News Germany Holding GmbH (Berlin)";"11.07.2017";"99%";"0d747c0b2dd5781887ce3d83356491d9";"b70167f9275a24ae";"33798";"Thu Jul  9 00:00:41 2020"
"News Germany Holding GmbH Berlin";"» Konzernabschluss zum Geschäftsjahr vom 01.07.2016 bis zum 30.06.2017";"05.07.2018";"0d747c0b2dd5781887ce3d83356491d9";"b70167f9275a24ae";"33798";"Thu Jul  9 00:00:41 2020";"";""
"Twentieth Century Fox Home Entertainment Germany GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.06.2015 bis zum 31.05.2016 News Germany Holding GmbH (Berlin)";"07.06.2016";"99%";"0d747c0b2dd5781887ce3d83356491d9";"892dd5c58f8431df";"33798";"Thu Jul  9 00:00:41 2020"
"News Germany Holding GmbH Berlin";"» Konzernabschluss zum Geschäftsjahr vom 01.07.2015 bis zum 30.06.2016";"26.07.2017";"0d747c0b2dd5781887ce3d83356491d9";"892dd5c58f8431df";"33798";"Thu Jul  9 00:00:41 2020";"";""
"Twentieth Century Fox Home Entertainment Germany GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.06.2014 bis zum 31.05.2015 News Germany Holding GmbH (Berlin)";"23.07.2015";"99%";"0d747c0b2dd5781887ce3d83356491d9";"59081e3d469f043b";"33798";"Thu Jul  9 00:00:41 2020"
"News Germany Holding GmbH Berlin";"» Konzernabschluss zum Geschäftsjahr vom 01.07.2014 bis zum 30.06.2015";"18.08.2016";"0d747c0b2dd5781887ce3d83356491d9";"59081e3d469f043b";"33798";"Thu Jul  9 00:00:41 2020";"";""
"Twentieth Century Fox Home Entertainment Germany GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.06.2013 bis zum 31.05.2014 News Germany Holding GmbH (Berlin)";"07.08.2014";"99%";"0d747c0b2dd5781887ce3d83356491d9";"bba4cf81364236f7";"33798";"Thu Jul  9 00:00:41 2020"
"Twentieth Century Fox Home Entertainment Germany GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.06.2012 bis zum 31.05.2013 News Germany Holding GmbH (Berlin)";"06.05.2013";"99%";"0d747c0b2dd5781887ce3d83356491d9";"06f1f91aa1a92c94";"33798";"Thu Jul  9 00:00:41 2020"
"Twentieth Century Fox Home Entertainment Germany GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.06.2011 bis zum 31.05.2012 News Germany Holding GmbH (Berlin)";"20.04.2012";"99%";"0d747c0b2dd5781887ce3d83356491d9";"b6dac3bf2e731022";"33798";"Thu Jul  9 00:00:41 2020"
"Twentieth Century Fox Home Entertainment Germany GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.06.2010 bis zum 31.05.2011 News Germany Holding GmbH (Berlin)";"08.06.2011";"99%";"0d747c0b2dd5781887ce3d83356491d9";"64ae6ec00d0d559d";"33798";"Thu Jul  9 00:00:41 2020"
