"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"UBA GmbH Uwe Bergmann Agentur Events & Event Consulting Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"11.02.2020";"96%";"0d747c0b2dd5781887ce3d83356491d9";"268a3825e2786dfa";"82206";"Wed Jul  8 23:11:33 2020"
"UBA GmbH Uwe Bergmann Agentur Events & Event Consulting Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"08.02.2019";"96%";"0d747c0b2dd5781887ce3d83356491d9";"87ef26ef62bf90b4";"82206";"Wed Jul  8 23:11:33 2020"
"UBA GmbH Uwe Bergmann Agentur Events & Event Consulting Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"30.01.2018";"95%";"0d747c0b2dd5781887ce3d83356491d9";"cf85d25093fe00e8";"82206";"Wed Jul  8 23:11:33 2020"
"UBA GmbH Uwe Bergmann Agentur Events & Event Consulting Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"13.12.2016";"95%";"0d747c0b2dd5781887ce3d83356491d9";"3e4b9bb41f05354b";"82206";"Wed Jul  8 23:11:33 2020"
"UBA GmbH Uwe Bergmann Agentur Events & Event Consulting Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"11.02.2016";"95%";"0d747c0b2dd5781887ce3d83356491d9";"0e6be1fc5a8e117a";"82206";"Wed Jul  8 23:11:33 2020"
"UBA GmbH Uwe Bergmann Agentur Events & Event Consulting Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"05.12.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"46fbecf08eb47de5";"82206";"Wed Jul  8 23:11:33 2020"
"UBA GmbH Uwe Bergmann Agentur Events & Event Consulting Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"28.01.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"3638e15ec9bc6b85";"82206";"Wed Jul  8 23:11:33 2020"
"UBA GmbH Uwe Bergmann Agentur Events & Event Consulting Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"28.02.2013";"95%";"0d747c0b2dd5781887ce3d83356491d9";"efdbb7aa8fa0ad22";"82206";"Wed Jul  8 23:11:33 2020"
"UBA GmbH Uwe Bergmann Agentur Events & Event Consulting Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"20.12.2011";"95%";"0d747c0b2dd5781887ce3d83356491d9";"77ee96b4dc18a711";"82206";"Wed Jul  8 23:11:33 2020"
"UBA GmbH Uwe Bergmann Agentur Events & Event Consulting Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"19.01.2011";"95%";"0d747c0b2dd5781887ce3d83356491d9";"8e1d7dab520f1c08";"82206";"Wed Jul  8 23:11:33 2020"
"UBA GmbH Uwe Bergmann Agentur Events & Event Consulting Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"13.01.2010";"95%";"0d747c0b2dd5781887ce3d83356491d9";"3b028e1292c7ab20";"82206";"Wed Jul  8 23:11:33 2020"
"UBA GmbH Uwe Bergmann Agentur Events & Event Consulting Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"23.01.2009";"95%";"0d747c0b2dd5781887ce3d83356491d9";"7f3c2e530938b625";"82206";"Wed Jul  8 23:11:33 2020"
"UBA GmbH Uwe Bergmann Agentur Events & Event-Consulting Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"14.01.2008";"95%";"0d747c0b2dd5781887ce3d83356491d9";"d39891e4be159660";"82206";"Wed Jul  8 23:11:33 2020"
