"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"United Sales Company GmbH Kaarst";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"14.05.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"e677aae4d87a713f";"87631";"Wed Jul  8 22:56:04 2020"
"United Sales Company GmbH Kaarst";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"20.05.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"83e4705cd83a5f25";"87631";"Wed Jul  8 22:56:04 2020"
"United Sales Company GmbH Kaarst";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"08.11.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"717257499230e5ec";"87631";"Wed Jul  8 22:56:04 2020"
"United Sales Company GmbH Kaarst";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"26.06.2017";"97%";"0d747c0b2dd5781887ce3d83356491d9";"4c2d88445030fc46";"87631";"Wed Jul  8 22:56:04 2020"
"United Sales Company GmbH Kaarst";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"13.12.2016";"97%";"0d747c0b2dd5781887ce3d83356491d9";"a6154d40add06a31";"87631";"Wed Jul  8 22:56:04 2020"
"United Sales Company GmbH Kaarst";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"17.09.2015";"97%";"0d747c0b2dd5781887ce3d83356491d9";"1c83f19d604ab815";"87631";"Wed Jul  8 22:56:04 2020"
"United Sales Company GmbH Kaarst";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"22.12.2014";"97%";"0d747c0b2dd5781887ce3d83356491d9";"49bef35375ec3e69";"87631";"Wed Jul  8 22:56:04 2020"
"United Sales Company GmbH Kaarst";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"20.01.2014";"97%";"0d747c0b2dd5781887ce3d83356491d9";"b7d0d10feb0630bc";"87631";"Wed Jul  8 22:56:04 2020"
"United Sales Company GmbH Kaarst";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"24.01.2013";"97%";"0d747c0b2dd5781887ce3d83356491d9";"39f0298b0a8ce4e4";"87631";"Wed Jul  8 22:56:04 2020"
"United Sales Company GmbH Kaarst";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 08.03.2010 bis zum 31.12.2010";"03.01.2012";"97%";"0d747c0b2dd5781887ce3d83356491d9";"561a5859f9a3696c";"87631";"Wed Jul  8 22:56:04 2020"
"United Seals Sales Company GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"10.12.2010";"97%";"0d747c0b2dd5781887ce3d83356491d9";"b04dafe754ca6240";"87631";"Wed Jul  8 22:56:04 2020"
"United Seals Sales Company GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"19.03.2010";"97%";"0d747c0b2dd5781887ce3d83356491d9";"86b4205ace198f01";"87631";"Wed Jul  8 22:56:04 2020"
"United Seals Sales Company GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"25.05.2009";"97%";"0d747c0b2dd5781887ce3d83356491d9";"c8e913c03326aad5";"87631";"Wed Jul  8 22:56:04 2020"
"United Seals Sales Company GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"14.05.2008";"97%";"0d747c0b2dd5781887ce3d83356491d9";"50cc9ac738c80949";"87631";"Wed Jul  8 22:56:04 2020"
"Société Générale Effekten GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum  30. Juni 2016";"26.09.2016";"37%";"0d747c0b2dd5781887ce3d83356491d9";"40b27295fbeee9a5";"87631";"Wed Jul  8 22:56:04 2020"
"AIRE GmbH & Co. KGaA Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2011";"15.11.2011";"37%";"0d747c0b2dd5781887ce3d83356491d9";"99dcb04e297f2cdb";"87631";"Wed Jul  8 22:56:04 2020"
"AIRE GmbH & Co. KGaA Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Quartalsfinanzbericht zum 30. September 2010";"07.12.2010";"37%";"0d747c0b2dd5781887ce3d83356491d9";"80eee8581f7f0b38";"87631";"Wed Jul  8 22:56:04 2020"
"AIRE GmbH & Co. KGaA Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht";"13.10.2010";"37%";"0d747c0b2dd5781887ce3d83356491d9";"cc76178484a250ee";"87631";"Wed Jul  8 22:56:04 2020"
"AIRE GmbH & Co. KGaA Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Quartalsfinanzbericht";"23.06.2010";"37%";"0d747c0b2dd5781887ce3d83356491d9";"da1049d82b4d3e25";"87631";"Wed Jul  8 22:56:04 2020"
"AIRE GmbH & Co. KGaA Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2009";"15.09.2009";"37%";"0d747c0b2dd5781887ce3d83356491d9";"b57b2a5e3b8b3d7c";"87631";"Wed Jul  8 22:56:04 2020"
