"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Uriot GmbH & Co KG,  Büroorganisation und Verpackungen. Offenburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"30.10.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"a08956dd6cfba0a3";"95024";"Wed Jul  8 22:44:15 2020"
"Uriot GmbH & Co KG,  Büroorganisation und Verpackungen. Offenburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"15.10.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"fc813c48deb0c332";"95024";"Wed Jul  8 22:44:15 2020"
"Uriot GmbH & Co KG,  Büroorganisation und Verpackungen. Offenburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"22.09.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"b273485012e816e4";"95024";"Wed Jul  8 22:44:15 2020"
"Uriot GmbH & Co KG,  Büroorganisation und Verpackungen. Offenburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"10.01.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"9d8f7dbe4cc37a92";"95024";"Wed Jul  8 22:44:15 2020"
"Uriot GmbH Offenburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"27.12.2016";"92%";"0d747c0b2dd5781887ce3d83356491d9";"2b92ef3012395aa6";"95024";"Wed Jul  8 22:44:15 2020"
"Uriot GmbH & Co KG,  Büroorganisation und Verpackungen. Offenburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"19.10.2015";"92%";"0d747c0b2dd5781887ce3d83356491d9";"0638f64136eaef46";"95024";"Wed Jul  8 22:44:15 2020"
"Uriot GmbH Offenburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"15.10.2015";"92%";"0d747c0b2dd5781887ce3d83356491d9";"0cdf674217728ea7";"95024";"Wed Jul  8 22:44:15 2020"
"Uriot Verpackungen GmbH Ahrensfelde (vormals: Kappelrodeck)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"24.09.2015";"92%";"0d747c0b2dd5781887ce3d83356491d9";"26cc7055fa366346";"95024";"Wed Jul  8 22:44:15 2020"
"Uriot GmbH & Co KG,  Büroorganisation und Verpackungen. Offenburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"17.12.2014";"92%";"0d747c0b2dd5781887ce3d83356491d9";"c6935690a5e76ab9";"95024";"Wed Jul  8 22:44:15 2020"
"Uriot GmbH Offenburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"26.11.2014";"92%";"0d747c0b2dd5781887ce3d83356491d9";"0ec99fc29fa9014d";"95024";"Wed Jul  8 22:44:15 2020"
"Uriot Verpackungen GmbH Ahrensfelde (vormals: Kappelrodeck)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"20.10.2014";"92%";"0d747c0b2dd5781887ce3d83356491d9";"ef8860b6c632ada7";"95024";"Wed Jul  8 22:44:15 2020"
"Uriot Verpackungen GmbH Kappelrodeck";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"20.02.2014";"92%";"0d747c0b2dd5781887ce3d83356491d9";"c425fe3c19af6384";"95024";"Wed Jul  8 22:44:15 2020"
