"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Ventum Consulting GmbH & Co. KG München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"09.03.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"739344b928ef0b4f";"28902";"Wed Jul  8 22:24:52 2020"
"A/VENTUM family office Consulting AG Stuttgart";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"27.01.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"06dc40c9c605e539";"28902";"Wed Jul  8 22:24:52 2020"
"Ventum Consulting GmbH & Co. KG München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"10.04.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"810c1d070e023792";"28902";"Wed Jul  8 22:24:52 2020"
"Ventum Consulting GmbH & Co. KG München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016 Ergänzung der Veröffentlichung vom 12.03.2018";"01.08.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"1f9b58a9ce4cd373";"28902";"Wed Jul  8 22:24:52 2020"
"Ventum Consulting GmbH & Co. KG München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016 Ergänzt am 01.08.2018";"12.03.2018";"92%";"0d747c0b2dd5781887ce3d83356491d9";"4812a141f20820bb";"28902";"Wed Jul  8 22:24:52 2020"
"Ventum Consulting GmbH & Co. KG München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015 Ergänzung der Veröffentlichung vom 22.02.2017";"19.06.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"e3f56168471fe04a";"28902";"Wed Jul  8 22:24:52 2020"
"Ventum Consulting GmbH & Co. KG München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015 Ergänzt am 19.06.2017";"22.02.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"4bd22215d4ca4347";"28902";"Wed Jul  8 22:24:52 2020"
"Ventum Consulting GmbH & Co. KG München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"04.04.2016";"92%";"0d747c0b2dd5781887ce3d83356491d9";"52007e5201712b04";"28902";"Wed Jul  8 22:24:52 2020"
"Ventum Consulting GmbH & Co. KG München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"15.04.2015";"92%";"0d747c0b2dd5781887ce3d83356491d9";"ea4082912118cfcc";"28902";"Wed Jul  8 22:24:52 2020"
"Ventum Consulting GmbH & Co. KG München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"12.02.2014";"92%";"0d747c0b2dd5781887ce3d83356491d9";"7225ee7a1c838639";"28902";"Wed Jul  8 22:24:52 2020"
"Ventum Consulting GmbH & Co. KG München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011 Berichtigung der Veröffentlichung vom 26.02.2013";"25.06.2013";"92%";"0d747c0b2dd5781887ce3d83356491d9";"c0b56e8449cc21b0";"28902";"Wed Jul  8 22:24:52 2020"
"Ventum Consulting GmbH & Co. KG München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011 Berichtigt am 25.06.2013";"26.02.2013";"92%";"0d747c0b2dd5781887ce3d83356491d9";"50c16fa0ba56a0ac";"28902";"Wed Jul  8 22:24:52 2020"
"Ventum Consulting GmbH & Co. KG München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010 Ergänzung der Veröffentlichung vom 24.01.2012";"18.04.2012";"92%";"0d747c0b2dd5781887ce3d83356491d9";"4c5de3598dd0cf89";"28902";"Wed Jul  8 22:24:52 2020"
"Ventum Consulting GmbH & Co. KG München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010 Ergänzt am 18.04.2012";"24.01.2012";"92%";"0d747c0b2dd5781887ce3d83356491d9";"448634a0f6bcfedf";"28902";"Wed Jul  8 22:24:52 2020"
"Ventum Consulting GmbH & Co. KG München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"04.03.2011";"92%";"0d747c0b2dd5781887ce3d83356491d9";"d25d58b71d3ba370";"28902";"Wed Jul  8 22:24:52 2020"
"Ventum Consulting GmbH & Co. KG München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2008 bis zum 31.12.2008";"03.02.2010";"92%";"0d747c0b2dd5781887ce3d83356491d9";"791cceb8144c75ee";"28902";"Wed Jul  8 22:24:52 2020"
"ventum consulting gmbh München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"14.01.2008";"92%";"0d747c0b2dd5781887ce3d83356491d9";"83cc7eba61e56dbe";"28902";"Wed Jul  8 22:24:52 2020"
