"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Visconto GmbH Veitshöchheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"25.09.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"8c119b7ad77ced16";"18665";"Wed Jul  8 23:11:04 2020"
"Visconto GmbH Veitshöchheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"03.09.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"56edbe75e4cb80b2";"18665";"Wed Jul  8 23:11:04 2020"
"Visconto GmbH Veitshöchheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"06.10.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"376add62d0c34aef";"18665";"Wed Jul  8 23:11:04 2020"
"Visconto GmbH Veitshöchheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"23.08.2016";"92%";"0d747c0b2dd5781887ce3d83356491d9";"94364c41a23402f5";"18665";"Wed Jul  8 23:11:04 2020"
"Visconto GmbH Veitshöchheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"23.06.2015";"92%";"0d747c0b2dd5781887ce3d83356491d9";"deafaafd20eb4c32";"18665";"Wed Jul  8 23:11:04 2020"
"Visconto GmbH Veitshöchheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"19.08.2014";"92%";"0d747c0b2dd5781887ce3d83356491d9";"a0d9be6681b64ad7";"18665";"Wed Jul  8 23:11:04 2020"
"Visconto GmbH Veitshöchheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012 Ergänzung der Veröffentlichung vom 27.08.2013";"09.05.2014";"92%";"0d747c0b2dd5781887ce3d83356491d9";"8114004724a60675";"18665";"Wed Jul  8 23:11:04 2020"
"Visconto GmbH Veitshöchheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012 Ergänzt am 09.05.2014";"27.08.2013";"92%";"0d747c0b2dd5781887ce3d83356491d9";"6b0164d0571c318c";"18665";"Wed Jul  8 23:11:04 2020"
"Visconto GmbH Veitshöchheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"02.11.2012";"92%";"0d747c0b2dd5781887ce3d83356491d9";"3d28dedb716b82ff";"18665";"Wed Jul  8 23:11:04 2020"
"Visconto GmbH Veitshöchheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2010 bis zum 31.12.2010";"26.08.2011";"92%";"0d747c0b2dd5781887ce3d83356491d9";"a37e2192c8d3fc9f";"18665";"Wed Jul  8 23:11:04 2020"
