"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Volk Travel Service GmbH Koblenz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"07.02.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"67ab9887874b29ca";"94122";"Wed Jul  8 23:19:51 2020"
"Volk Travel Service GmbH Koblenz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"06.03.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"068928edc2fe78da";"94122";"Wed Jul  8 23:19:51 2020"
"Volk Travel Service GmbH Koblenz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"29.03.2018";"97%";"0d747c0b2dd5781887ce3d83356491d9";"39725922ae57061b";"94122";"Wed Jul  8 23:19:51 2020"
"Volk Travel Service GmbH Koblenz (vormals: Osterspai)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"01.06.2017";"97%";"0d747c0b2dd5781887ce3d83356491d9";"c77e6ce189445110";"94122";"Wed Jul  8 23:19:51 2020"
"Volk Travel Service GmbH Koblenz (vormals: Osterspai)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"15.04.2016";"97%";"0d747c0b2dd5781887ce3d83356491d9";"5451d4d5c292388a";"94122";"Wed Jul  8 23:19:51 2020"
"Volk Travel Service GmbH Koblenz (vormals: Osterspai)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"17.02.2015";"97%";"0d747c0b2dd5781887ce3d83356491d9";"5f22cd63b005eccb";"94122";"Wed Jul  8 23:19:51 2020"
"Volk Travel Service GmbH Koblenz (vormals: Osterspai)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"04.03.2014";"97%";"0d747c0b2dd5781887ce3d83356491d9";"6c4f560059d8b0f1";"94122";"Wed Jul  8 23:19:51 2020"
"Volk Travel Service GmbH Osterspai";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"15.01.2013";"97%";"0d747c0b2dd5781887ce3d83356491d9";"ada993e78c18da41";"94122";"Wed Jul  8 23:19:51 2020"
"Volk Travel Service GmbH Osterspai";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"25.01.2012";"97%";"0d747c0b2dd5781887ce3d83356491d9";"eb121944d7f283e0";"94122";"Wed Jul  8 23:19:51 2020"
"Volk Travel Service GmbH Osterspai";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"28.03.2011";"97%";"0d747c0b2dd5781887ce3d83356491d9";"74a3b68e23a552d5";"94122";"Wed Jul  8 23:19:51 2020"
"Volk Travel Service GmbH Osterspai";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"23.02.2010";"97%";"0d747c0b2dd5781887ce3d83356491d9";"5ce6a657ff681ddd";"94122";"Wed Jul  8 23:19:51 2020"
"Volk Travel Service GmbH Osterspai";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"05.08.2009";"97%";"0d747c0b2dd5781887ce3d83356491d9";"5dc8c476de5d004a";"94122";"Wed Jul  8 23:19:51 2020"
"Volk Travel Service GmbH Osterspai";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"14.04.2008";"97%";"0d747c0b2dd5781887ce3d83356491d9";"0c7e26bfcdc46a08";"94122";"Wed Jul  8 23:19:51 2020"
"iShares (DE) I Investmentaktiengesellschaft mit Teilgesellschaftsvermögen München";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 31. August 2018";"06.11.2018";"7%";"0d747c0b2dd5781887ce3d83356491d9";"424ed1907caf32fd";"94122";"Wed Jul  8 23:19:51 2020"
"iShares (DE) I Investmentaktiengesellschaft mit Teilgesellschaftsvermögen München";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 31. August 2017";"08.11.2017";"4%";"0d747c0b2dd5781887ce3d83356491d9";"ee40939684444cc0";"94122";"Wed Jul  8 23:19:51 2020"
