"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Völkel Company Asset Management GmbH & Co. KG Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2018 bis zum 30.06.2019";"22.06.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"aab4c6379f0f1d3d";"65408";"Wed Jul  8 23:20:26 2020"
"Völkel Company Asset Management GmbH & Co. KG Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2017 bis zum 30.06.2018";"15.08.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"f6523755ddbf872e";"65408";"Wed Jul  8 23:20:26 2020"
"Völkel Company Asset Management GmbH & Co. KG Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2016 bis zum 30.06.2017";"02.07.2018";"99%";"0d747c0b2dd5781887ce3d83356491d9";"c49d5e060f6f24e2";"65408";"Wed Jul  8 23:20:26 2020"
"Völkel Company Asset Management GmbH & Co. KG Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2015 bis zum 30.06.2016";"06.07.2017";"99%";"0d747c0b2dd5781887ce3d83356491d9";"b9c032c6e7289a1c";"65408";"Wed Jul  8 23:20:26 2020"
"Völkel Company Asset Management GmbH & Co. KG Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2014 bis zum 30.06.2015";"15.08.2016";"99%";"0d747c0b2dd5781887ce3d83356491d9";"1e83cad5c333ec21";"65408";"Wed Jul  8 23:20:26 2020"
"Völkel Company Asset Management GmbH & Co. KG Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2013 bis zum 30.06.2014";"22.05.2015";"99%";"0d747c0b2dd5781887ce3d83356491d9";"62e2535b51714f33";"65408";"Wed Jul  8 23:20:26 2020"
"Völkel Company Asset Management GmbH & Co. KG Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2012 bis zum 30.06.2013";"19.09.2014";"99%";"0d747c0b2dd5781887ce3d83356491d9";"46b822e39af856b0";"65408";"Wed Jul  8 23:20:26 2020"
"Völkel Company Asset Management GmbH & Co. KG Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2011 bis zum 30.06.2012";"06.05.2013";"99%";"0d747c0b2dd5781887ce3d83356491d9";"a73b61c12b806b99";"65408";"Wed Jul  8 23:20:26 2020"
"Völkel Company Asset Management GmbH & Co. KG Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2010 bis zum 30.06.2011";"22.06.2012";"99%";"0d747c0b2dd5781887ce3d83356491d9";"089672ad71cb098f";"65408";"Wed Jul  8 23:20:26 2020"
"Völkel Company Asset Management GmbH & Co. KG Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2009 bis zum 30.06.2010";"26.07.2011";"99%";"0d747c0b2dd5781887ce3d83356491d9";"44197c2d8737827b";"65408";"Wed Jul  8 23:20:26 2020"
"Völkel Company Asset Management GmbH & Co. KG Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2008 bis zum 30.06.2009";"14.09.2010";"99%";"0d747c0b2dd5781887ce3d83356491d9";"131c6ae4fea35059";"65408";"Wed Jul  8 23:20:26 2020"
"Völkel Company Asset Management GmbH & Co. KG Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2007 bis zum 30.06.2008";"27.08.2009";"99%";"0d747c0b2dd5781887ce3d83356491d9";"43af072f6f786393";"65408";"Wed Jul  8 23:20:26 2020"
"Völkel Company Asset Management GmbH & Co. KG Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2006 bis zum 30.06.2007";"17.12.2008";"99%";"0d747c0b2dd5781887ce3d83356491d9";"dc44ee9fdcea6883";"65408";"Wed Jul  8 23:20:26 2020"
