"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"WPD Wartungs- und Prüfungsdienst GmbH Speyer";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"25.03.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"8fcb8f014d6e470c";"69487";"Wed Jul  8 23:07:16 2020"
"WPD Wartungs- und Prüfungsdienst GmbH Speyer";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"27.03.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"3e477ecb923cf76c";"69487";"Wed Jul  8 23:07:16 2020"
"WPD Wartungs- und Prüfungsdienst GmbH Speyer";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"22.02.2018";"98%";"0d747c0b2dd5781887ce3d83356491d9";"0ce887faeba8a5dc";"69487";"Wed Jul  8 23:07:16 2020"
"WPD Wartungs- und Prüfungsdienst GmbH Speyer";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"08.08.2016";"98%";"0d747c0b2dd5781887ce3d83356491d9";"54e9df5e92823d9b";"69487";"Wed Jul  8 23:07:16 2020"
"WPD Wartungs- und Prüfungsdienst GmbH Speyer";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"20.08.2015";"98%";"0d747c0b2dd5781887ce3d83356491d9";"a919369d305fae30";"69487";"Wed Jul  8 23:07:16 2020"
"WPD Wartungs- und Prüfungsdienst GmbH Speyer";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"06.08.2014";"98%";"0d747c0b2dd5781887ce3d83356491d9";"417ddaee28d40a3d";"69487";"Wed Jul  8 23:07:16 2020"
"WPD Wartungs- und Prüfungsdienst GmbH Speyer";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"31.12.2013";"98%";"0d747c0b2dd5781887ce3d83356491d9";"1781120d10dd9044";"69487";"Wed Jul  8 23:07:16 2020"
"WPD Wartungs- und Prüfungsdienst GmbH Speyer";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"02.01.2013";"98%";"0d747c0b2dd5781887ce3d83356491d9";"477361109d1901b2";"69487";"Wed Jul  8 23:07:16 2020"
"WPD Wartungs- und Prüfungsdienst GmbH Speyer";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"29.12.2011";"98%";"0d747c0b2dd5781887ce3d83356491d9";"28364b13916fb83e";"69487";"Wed Jul  8 23:07:16 2020"
"WPD Wartungs- und Prüfungsdienst GmbH Speyer";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"08.11.2010";"98%";"0d747c0b2dd5781887ce3d83356491d9";"33101c136cb5cbfb";"69487";"Wed Jul  8 23:07:16 2020"
"WPD Wartungs- und Prüfungsdienst GmbH Speyer";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"26.11.2009";"98%";"0d747c0b2dd5781887ce3d83356491d9";"b6f561bde6890776";"69487";"Wed Jul  8 23:07:16 2020"
