"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Wolfgang Doose GmbH Henstedt- Ulzburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"10.03.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"e981a5acdfc6d3fd";"50076";"Wed Jul  8 22:52:56 2020"
"Wolfgang Doose Werkzeug - Vorrichtungsbau GmbH + Co. KG Henstedt- Ulzburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"27.12.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"2e4e6771b8644840";"50076";"Wed Jul  8 22:52:56 2020"
"Wolfgang Doose GmbH Henstedt- Ulzburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"07.09.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"bbc71da6ae2be315";"50076";"Wed Jul  8 22:52:56 2020"
"Wolfgang Doose Werkzeug - Vorrichtungsbau GmbH + Co. KG Henstedt- Ulzburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"30.08.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"c20608b3116c7463";"50076";"Wed Jul  8 22:52:56 2020"
"Wolfgang Doose Consulting GmbH Wakendorf II";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"24.08.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"c70d85e297d7eb7a";"50076";"Wed Jul  8 22:52:56 2020"
"Wolfgang Doose Werkzeug - Vorrichtungsbau GmbH + Co. KG Henstedt- Ulzburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"06.03.2018";"95%";"0d747c0b2dd5781887ce3d83356491d9";"f42bef3251e3b27b";"50076";"Wed Jul  8 22:52:56 2020"
"Wolfgang Doose GmbH Henstedt- Ulzburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"01.03.2018";"95%";"0d747c0b2dd5781887ce3d83356491d9";"534f06699f05c393";"50076";"Wed Jul  8 22:52:56 2020"
"Wolfgang Doose Consulting GmbH (vormals: WZB Nord Verwaltungs GmbH) Norderstedt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"12.10.2017";"95%";"0d747c0b2dd5781887ce3d83356491d9";"3e75f09e389b14e6";"50076";"Wed Jul  8 22:52:56 2020"
"Wolfgang Doose Werkzeug - Vorrichtungsbau GmbH + Co. KG Henstedt- Ulzburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"12.09.2016";"95%";"0d747c0b2dd5781887ce3d83356491d9";"4512a7a283a9ad51";"50076";"Wed Jul  8 22:52:56 2020"
"Wolfgang Doose GmbH Henstedt- Ulzburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"23.08.2016";"95%";"0d747c0b2dd5781887ce3d83356491d9";"547f20b3cf7ba6c7";"50076";"Wed Jul  8 22:52:56 2020"
"Wolfgang Doose GmbH Henstedt- Ulzburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"02.09.2015";"95%";"0d747c0b2dd5781887ce3d83356491d9";"e853c3ab307748de";"50076";"Wed Jul  8 22:52:56 2020"
"Wolfgang Doose Werkzeug - Vorrichtungsbau GmbH + Co. KG Henstedt- Ulzburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"02.09.2015";"95%";"0d747c0b2dd5781887ce3d83356491d9";"8999f9f4047e012e";"50076";"Wed Jul  8 22:52:56 2020"
"Wolfgang Doose Werkzeug - Vorrichtungsbau GmbH + Co. KG Henstedt- Ulzburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"12.12.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"ef526bf2778223a9";"50076";"Wed Jul  8 22:52:56 2020"
"Wolfgang Doose GmbH Henstedt- Ulzburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"24.11.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"72c89cca799a1e70";"50076";"Wed Jul  8 22:52:56 2020"
