"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Wäscherei Ernst GmbH Erbach";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"19.02.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"5a7b9d286743315a";"76011";"Wed Jul  8 23:08:28 2020"
"Wäscherei Ernst GmbH Erbach";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"13.02.2018";"95%";"0d747c0b2dd5781887ce3d83356491d9";"1c5dc02c3e66c72c";"76011";"Wed Jul  8 23:08:28 2020"
"Wäscherei Ernst GmbH Erbach";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"20.02.2017";"95%";"0d747c0b2dd5781887ce3d83356491d9";"13c40c901a2902d6";"76011";"Wed Jul  8 23:08:28 2020"
"Wäscherei Ernst GmbH Erbach";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"10.01.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"50d5fbec45830045";"76011";"Wed Jul  8 23:08:28 2020"
"Wäscherei Ernst GmbH Erbach";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"24.01.2013";"95%";"0d747c0b2dd5781887ce3d83356491d9";"935f02d78bf3cc93";"76011";"Wed Jul  8 23:08:28 2020"
"Wäscherei Ernst GmbH Erbach";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"30.01.2012";"95%";"0d747c0b2dd5781887ce3d83356491d9";"f1b1ee4a56aea6f8";"76011";"Wed Jul  8 23:08:28 2020"
"Wäscherei Ernst GmbH Erbach";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"12.01.2011";"95%";"0d747c0b2dd5781887ce3d83356491d9";"d9dcdb0ab8d7b804";"76011";"Wed Jul  8 23:08:28 2020"
"Wäscherei Ernst GmbH Erbach";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"21.01.2010";"95%";"0d747c0b2dd5781887ce3d83356491d9";"8fe7b9f556e6c325";"76011";"Wed Jul  8 23:08:28 2020"
"Wäscherei Ernst GmbH Erbach";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"04.02.2009";"95%";"0d747c0b2dd5781887ce3d83356491d9";"9d77680494da9352";"76011";"Wed Jul  8 23:08:28 2020"
"Wäscherei Ernst GmbH Erbach";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"12.03.2008";"95%";"0d747c0b2dd5781887ce3d83356491d9";"ca3c1c3e71bac978";"76011";"Wed Jul  8 23:08:28 2020"
