"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"ÜSTRA Hannoversche Verkehrsbetriebe Aktiengesellschaft Hannover";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"04.05.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"9d4c3b7c2747a250";"90385";"Wed Jul  8 23:12:37 2020"
"Fresenius SE & Co. KGaA Bad Homburg v. d. Höhe";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"15.04.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"837e05d104eccdd4";"90385";"Wed Jul  8 23:12:37 2020"
"Stadt-Sparkasse Gelsenkirchen Gelsenkirchen";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"18.10.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"e8a465e2d2e90cdb";"90385";"Wed Jul  8 23:12:37 2020"
"Kreissparkasse Ludwigsburg Ludwigsburg";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"21.08.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"9a536022f1a47339";"90385";"Wed Jul  8 23:12:37 2020"
"Kreissparkasse Ravensburg Ravensburg";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"13.08.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"dfe85e27a9b82816";"90385";"Wed Jul  8 23:12:37 2020"
"Sparkasse Göttingen Göttingen";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"05.07.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"d706837f00b0e31b";"90385";"Wed Jul  8 23:12:37 2020"
"FORIS AG Bonn";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30.06.2014";"01.07.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"5107a381c72bc5d4";"90385";"Wed Jul  8 23:12:37 2020"
"ÜSTRA Hannoversche Verkehrsbetriebe Aktiengesellschaft Hannover";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"08.05.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"f07de0d3077be560";"90385";"Wed Jul  8 23:12:37 2020"
"Fresenius SE & Co. KGaA Bad Homburg v. d. Höhe";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"25.04.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"94c159fa37f92aa2";"90385";"Wed Jul  8 23:12:37 2020"
"DEUTSCHE BANK AKTIENGESELLSCHAFT Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Konzern - Quartalsfinanzbericht zum 30. September 2018";"04.01.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"62b0b2a5e70c5b59";"90385";"Wed Jul  8 23:12:37 2020"
"niiio finance group AG Görlitz (vormals: Köln)";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30.06.2018";"08.11.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"dd78d593ba413bcf";"90385";"Wed Jul  8 23:12:37 2020"
"Volksbank Ulm-Biberach eG Ulm";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"31.10.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"ed45ff84ef94206b";"90385";"Wed Jul  8 23:12:37 2020"
"Stadt-Sparkasse Gelsenkirchen Gelsenkirchen";"Rechnungslegung/ Finanzberichte";"» Nichtfinanzieller Bericht 2017";"12.09.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"d1b010e5c7d54cba";"90385";"Wed Jul  8 23:12:37 2020"
"Franz Haniel & Cie. GmbH Duisburg-Ruhrort";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2018";"07.09.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"43c8278b8100401a";"90385";"Wed Jul  8 23:12:37 2020"
"thyssenkrupp AG Duisburg und Essen";"Rechnungslegung/ Finanzberichte";"» Quartalsfinanzbericht zum 30.06.2018";"29.08.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"5bf723fed2fad243";"90385";"Wed Jul  8 23:12:37 2020"
"DEUTSCHE BANK AKTIENGESELLSCHAFT Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Konzern-Halbjahresbericht zum 30. Juni 2018";"27.07.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"fb852b63f66d5498";"90385";"Wed Jul  8 23:12:37 2020"
"Sparkasse Göttingen Göttingen";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"19.07.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"c061d54cd111a75f";"90385";"Wed Jul  8 23:12:37 2020"
