"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"aQto GmbH Neuss";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019 Aqua Vital Quell- und Mineralwasser GmbH (Neuss)";"26.02.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"fe20e7471acede37";"53831";"Wed Jul  8 23:22:52 2020"
"aQto GmbH Neuss";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018 Aqua Vital Quell- und Mineralwasser GmbH (Neuss)";"16.12.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"9267874d10e8acdd";"53831";"Wed Jul  8 23:22:52 2020"
"Aqua Vital Quell- und Mineralwasser GmbH Neuss";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"17.12.2019";"0d747c0b2dd5781887ce3d83356491d9";"9267874d10e8acdd";"53831";"Wed Jul  8 23:22:52 2020";"";""
"aQto GmbH Neuss";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018 Aqua Vital Quell- und Mineralwasser GmbH (Neuss)";"15.03.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"8783c90b366e0161";"53831";"Wed Jul  8 23:22:52 2020"
"Aqua Vital Quell- und Mineralwasser GmbH Neuss";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"17.12.2019";"0d747c0b2dd5781887ce3d83356491d9";"8783c90b366e0161";"53831";"Wed Jul  8 23:22:52 2020";"";""
"aQto GmbH Neuss";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"22.01.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"484a0b7acc9b90f4";"53831";"Wed Jul  8 23:22:52 2020"
"aQto GmbH Neuss";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"01.03.2018";"92%";"0d747c0b2dd5781887ce3d83356491d9";"2f61ad8827947f31";"53831";"Wed Jul  8 23:22:52 2020"
"aQto GmbH Neuss";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"27.12.2016";"92%";"0d747c0b2dd5781887ce3d83356491d9";"0729535797849ea6";"53831";"Wed Jul  8 23:22:52 2020"
"aQto GmbH Neuss";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"07.10.2015";"92%";"0d747c0b2dd5781887ce3d83356491d9";"5a29679184360ddc";"53831";"Wed Jul  8 23:22:52 2020"
"aQto GmbH Neuss";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.06.2013 bis zum 31.12.2013 Berichtigung der Veröffentlichung vom 19.01.2015";"19.03.2015";"92%";"0d747c0b2dd5781887ce3d83356491d9";"e34d8010fbbf69d1";"53831";"Wed Jul  8 23:22:52 2020"
"aQto GmbH Neuss";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.06.2013 bis zum 31.12.2013 Berichtigt am 19.03.2015";"19.01.2015";"92%";"0d747c0b2dd5781887ce3d83356491d9";"d090343439f2b525";"53831";"Wed Jul  8 23:22:52 2020"
