"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Activ-Work GmbH Mannheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"10.12.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"46169ec907202dfb";"23397";"Wed Jul  8 23:14:18 2020"
"ACTIVE WORKS GmbH Kassel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"22.11.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"fde1e0cb028f69aa";"23397";"Wed Jul  8 23:14:18 2020"
"ACTIVE WORKS GmbH (vormals: active works Personaldienstleistungen GmbH) Kassel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"21.01.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"18022d50e33e527a";"23397";"Wed Jul  8 23:14:18 2020"
"Activ-Work GmbH Mannheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"26.11.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"eea74e82ee53b08f";"23397";"Wed Jul  8 23:14:18 2020"
"Activ-Work GmbH Mannheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"07.02.2018";"92%";"0d747c0b2dd5781887ce3d83356491d9";"7430f5e550c6ee58";"23397";"Wed Jul  8 23:14:18 2020"
"active works Personaldienstleistungen GmbH Kassel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"10.11.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"1beb9956d463da5d";"23397";"Wed Jul  8 23:14:18 2020"
"Activ-Work GmbH Mannheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"13.12.2016";"92%";"0d747c0b2dd5781887ce3d83356491d9";"9117ec715deffe93";"23397";"Wed Jul  8 23:14:18 2020"
"active works Personaldienstleistungen GmbH Kassel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"01.06.2016";"92%";"0d747c0b2dd5781887ce3d83356491d9";"c27ba8477c16bf62";"23397";"Wed Jul  8 23:14:18 2020"
"active works Personaldienstleistungen GmbH Kassel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"19.11.2015";"92%";"0d747c0b2dd5781887ce3d83356491d9";"d4caa2789a17b008";"23397";"Wed Jul  8 23:14:18 2020"
"Activ-Work GmbH Mannheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"29.09.2015";"92%";"0d747c0b2dd5781887ce3d83356491d9";"f57be82790dd115a";"23397";"Wed Jul  8 23:14:18 2020"
"active works Personaldienstleistungen GmbH Kassel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"09.12.2014";"92%";"0d747c0b2dd5781887ce3d83356491d9";"2eb05efca5b44284";"23397";"Wed Jul  8 23:14:18 2020"
"Activ-Work GmbH Mannheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"29.07.2014";"92%";"0d747c0b2dd5781887ce3d83356491d9";"9daa738d4a819ad4";"23397";"Wed Jul  8 23:14:18 2020"
