"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"adb-Software GmbH Ottensoos";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"14.12.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"140734a17201786e";"00637";"Wed Jul  8 23:44:08 2020"
"adb-Software GmbH Neunkirchen a. S.";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"18.12.2017";"95%";"0d747c0b2dd5781887ce3d83356491d9";"48ba9389d30c7609";"00637";"Wed Jul  8 23:44:08 2020"
"adb-Software GmbH Neunkirchen a. S.";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"02.11.2016";"95%";"0d747c0b2dd5781887ce3d83356491d9";"14c0a6a9a2f62cd6";"00637";"Wed Jul  8 23:44:08 2020"
"adb-Software GmbH Neunkirchen a. S.";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"18.12.2015";"95%";"0d747c0b2dd5781887ce3d83356491d9";"ec001241824a4bd0";"00637";"Wed Jul  8 23:44:08 2020"
"adb-Software GmbH Neunkirchen a. S.";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"13.11.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"6d5c52448ce329bb";"00637";"Wed Jul  8 23:44:08 2020"
"adb-Software GmbH Neunkirchen a. S.";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"03.02.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"16da4b24adc9225e";"00637";"Wed Jul  8 23:44:08 2020"
"adb-Software GmbH Neunkirchen a. S.";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"20.09.2012";"95%";"0d747c0b2dd5781887ce3d83356491d9";"42b7e3d0ad2ca1a4";"00637";"Wed Jul  8 23:44:08 2020"
"adb-Software GmbH Neunkirchen a. S.";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"09.01.2012";"95%";"0d747c0b2dd5781887ce3d83356491d9";"c902443e32b54f1c";"00637";"Wed Jul  8 23:44:08 2020"
"adb-Software GmbH Neunkirchen a. S.";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"03.02.2011";"95%";"0d747c0b2dd5781887ce3d83356491d9";"f751447d36170e0a";"00637";"Wed Jul  8 23:44:08 2020"
"adb-Software GmbH Neunkirchen a. S.";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"19.01.2010";"95%";"0d747c0b2dd5781887ce3d83356491d9";"b58f79b9ca4c0ddf";"00637";"Wed Jul  8 23:44:08 2020"
"adb-Software GmbH Neunkirchen a. S.";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"23.01.2009";"95%";"0d747c0b2dd5781887ce3d83356491d9";"17396a25233ca6e8";"00637";"Wed Jul  8 23:44:08 2020"
"adb-SOFTWARE GmbH Neunkirchen am Sand";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"17.01.2008";"95%";"0d747c0b2dd5781887ce3d83356491d9";"b8ce9b0d39c8dfa8";"00637";"Wed Jul  8 23:44:08 2020"
