"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"addvalue GmbH Künzell";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"10.02.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"4ac405854b096fcc";"36556";"Thu Jul  9 00:03:47 2020"
"addvalue GmbH Künzell";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"03.01.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"0b63cad5d02f511d";"36556";"Thu Jul  9 00:03:47 2020"
"addvalue GmbH Künzell";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"16.01.2018";"92%";"0d747c0b2dd5781887ce3d83356491d9";"a6c5aa82420de19a";"36556";"Thu Jul  9 00:03:47 2020"
"addvalue GmbH Künzell";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"29.12.2016";"92%";"0d747c0b2dd5781887ce3d83356491d9";"494aecb1b4f481cf";"36556";"Thu Jul  9 00:03:47 2020"
"addValue Betriebs GmbH Nossen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014 Berichtigung der Veröffentlichung vom 17.12.2015";"24.03.2016";"92%";"0d747c0b2dd5781887ce3d83356491d9";"7bdab8e3ad7a7b1e";"36556";"Thu Jul  9 00:03:47 2020"
"addValue Handels GmbH & Co.KG Nossen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"17.12.2015";"92%";"0d747c0b2dd5781887ce3d83356491d9";"2af7367759fa2ba7";"36556";"Thu Jul  9 00:03:47 2020"
"addValue Betriebs GmbH Nossen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014 Berichtigt am 24.03.2016";"17.12.2015";"92%";"0d747c0b2dd5781887ce3d83356491d9";"1e61a4bbbb02b759";"36556";"Thu Jul  9 00:03:47 2020"
"addvalue GmbH Künzell";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"10.08.2015";"92%";"0d747c0b2dd5781887ce3d83356491d9";"dbac977145062659";"36556";"Thu Jul  9 00:03:47 2020"
"addvalue GmbH Künzell";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"08.12.2014";"92%";"0d747c0b2dd5781887ce3d83356491d9";"37b08f418a945faa";"36556";"Thu Jul  9 00:03:47 2020"
"addvalue GmbH Künzell";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"11.04.2014";"92%";"0d747c0b2dd5781887ce3d83356491d9";"2d69c9bcdb7f28f9";"36556";"Thu Jul  9 00:03:47 2020"
