"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"argumentum GmbH Höhenkirchen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"31.03.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"bb4e4b791a40ea6e";"96352";"Thu Jul  9 00:13:02 2020"
"argumentum GmbH Höhenkirchen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"07.03.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"00a85c58caafd355";"96352";"Thu Jul  9 00:13:02 2020"
"argumentum GmbH Höhenkirchen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"17.04.2018";"92%";"0d747c0b2dd5781887ce3d83356491d9";"d325d1e341818c7b";"96352";"Thu Jul  9 00:13:02 2020"
"argumentum GmbH Höhenkirchen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"16.03.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"2904629678b5dc5c";"96352";"Thu Jul  9 00:13:02 2020"
"argumentum GmbH Höhenkirchen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"12.04.2016";"92%";"0d747c0b2dd5781887ce3d83356491d9";"b2877ee8fbe5209a";"96352";"Thu Jul  9 00:13:02 2020"
"argumentum GmbH Höhenkirchen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"16.04.2015";"92%";"0d747c0b2dd5781887ce3d83356491d9";"d9f221e99ca39d89";"96352";"Thu Jul  9 00:13:02 2020"
"argumentum GmbH Höhenkirchen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"22.04.2014";"92%";"0d747c0b2dd5781887ce3d83356491d9";"eb649a213e1c7cf6";"96352";"Thu Jul  9 00:13:02 2020"
"argumentum GmbH Höhenkirchen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"28.03.2013";"92%";"0d747c0b2dd5781887ce3d83356491d9";"cb505723ec289335";"96352";"Thu Jul  9 00:13:02 2020"
"argumentum GmbH Höhenkirchen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"04.04.2012";"92%";"0d747c0b2dd5781887ce3d83356491d9";"ca0a666ccea9036e";"96352";"Thu Jul  9 00:13:02 2020"
"argumentum GmbH Höhenkirchen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"29.03.2011";"92%";"0d747c0b2dd5781887ce3d83356491d9";"a54c751ccca088f0";"96352";"Thu Jul  9 00:13:02 2020"
"argumentum GmbH Höhenkirchen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"27.04.2010";"92%";"0d747c0b2dd5781887ce3d83356491d9";"ba0c859ad0150489";"96352";"Thu Jul  9 00:13:02 2020"
"argumentum GmbH Höhenkirchen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"07.04.2009";"92%";"0d747c0b2dd5781887ce3d83356491d9";"ef04f33106a1b0ce";"96352";"Thu Jul  9 00:13:02 2020"
"argumentum GmbH Höhenkirchen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31. Dezember 2006";"18.08.2008";"92%";"0d747c0b2dd5781887ce3d83356491d9";"e6df5ff99c9033d3";"96352";"Thu Jul  9 00:13:02 2020"
