"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"becos Beratung für computerunterstützte Organisation & betr. Systemanalyse GmbH Stuttgart";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"25.05.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"6bd880c7412ac1ff";"75843";"Wed Jul  8 23:50:57 2020"
"becos Beratung für computerunterstützte Organisation & betr. Systemanalyse GmbH Stuttgart";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"21.06.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"280db191e623956c";"75843";"Wed Jul  8 23:50:57 2020"
"becos Beratung für computerunterstützte Organisation & betr. Systemanalyse GmbH Stuttgart";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"16.07.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"9a85b61365f787e0";"75843";"Wed Jul  8 23:50:57 2020"
"becos Beratung für computerunterstützte Organisation & betr. Systemanalyse GmbH Stuttgart";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"12.06.2017";"99%";"0d747c0b2dd5781887ce3d83356491d9";"87a7cd8c1f424d5f";"75843";"Wed Jul  8 23:50:57 2020"
"becos Beratung für computerunterstützte Organisation & betr. Systemanalyse GmbH Stuttgart";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"12.08.2016";"99%";"0d747c0b2dd5781887ce3d83356491d9";"1f3bc6a95edd651f";"75843";"Wed Jul  8 23:50:57 2020"
"becos Beratung für computerunterstützte Organisation & betr. Systemanalyse GmbH Stuttgart";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"28.04.2015";"99%";"0d747c0b2dd5781887ce3d83356491d9";"e52cfbe5f45359ba";"75843";"Wed Jul  8 23:50:57 2020"
"becos Beratung für computerunterstützte Organisation & betr. Systemanalyse GmbH Stuttgart";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"20.05.2014";"99%";"0d747c0b2dd5781887ce3d83356491d9";"2cce5a58a525a3f6";"75843";"Wed Jul  8 23:50:57 2020"
"becos Beratung für computerunterstützte Organisation & betr. Systemanalyse GmbH Stuttgart";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"13.12.2013";"99%";"0d747c0b2dd5781887ce3d83356491d9";"074435900c5c5307";"75843";"Wed Jul  8 23:50:57 2020"
"becos Beratung für computerunterstützte Organisation & betr. Systemanalyse GmbH Stuttgart";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"24.12.2012";"99%";"0d747c0b2dd5781887ce3d83356491d9";"e7cf5af210a29d0b";"75843";"Wed Jul  8 23:50:57 2020"
"becos Beratung für computerunterstützte Organisation & betr. Systemanalyse GmbH Stuttgart";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"23.12.2011";"99%";"0d747c0b2dd5781887ce3d83356491d9";"318739582e71644d";"75843";"Wed Jul  8 23:50:57 2020"
"becos Beratung für computerunterstützte Organisation & betr. Systemanalyse GmbH Stuttgart";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"17.05.2010";"99%";"0d747c0b2dd5781887ce3d83356491d9";"93dffecd1f9b14c7";"75843";"Wed Jul  8 23:50:57 2020"
"becos Beratung für computerunterstützte Organisation & betr. Systemanalyse GmbH Stuttgart";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"26.10.2009";"99%";"0d747c0b2dd5781887ce3d83356491d9";"ec2f4040aba2829b";"75843";"Wed Jul  8 23:50:57 2020"
"becos Beratung für computerunterstützte Organisation & betr. Systemanalyse GmbH Stuttgart";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2007";"19.06.2008";"99%";"0d747c0b2dd5781887ce3d83356491d9";"f16ee9c9961c0064";"75843";"Wed Jul  8 23:50:57 2020"
"becos Beratung für computerunterstützte Organisation & betr. Systemanalyse GmbH Stuttgart";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"29.01.2008";"99%";"0d747c0b2dd5781887ce3d83356491d9";"087e32dc1adae5b6";"75843";"Wed Jul  8 23:50:57 2020"
