"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"benelog GmbH & Co. KG Kerpen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"30.12.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"c4ef8c9e23cc04bb";"91449";"Wed Jul  8 23:52:52 2020"
"benelog GmbH & Co. KG Kerpen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"22.01.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"0cf2c438f2dd7407";"91449";"Wed Jul  8 23:52:52 2020"
"benelog GmbH & Co. KG Kerpen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"22.01.2018";"92%";"0d747c0b2dd5781887ce3d83356491d9";"d66531b45e57e5f9";"91449";"Wed Jul  8 23:52:52 2020"
"benelog GmbH & Co. KG Herzogenrath";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"08.01.2013";"92%";"0d747c0b2dd5781887ce3d83356491d9";"b4ad923242324ecc";"91449";"Wed Jul  8 23:52:52 2020"
"benelog Betriebs GmbH Herzogenrath";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"11.12.2012";"92%";"0d747c0b2dd5781887ce3d83356491d9";"96ea65cad63b0587";"91449";"Wed Jul  8 23:52:52 2020"
"benelog GmbH & Co. KG Herzogenrath";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"19.08.2011";"92%";"0d747c0b2dd5781887ce3d83356491d9";"29bca111343552da";"91449";"Wed Jul  8 23:52:52 2020"
"benelog Betriebs GmbH Herzogenrath";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"19.08.2011";"92%";"0d747c0b2dd5781887ce3d83356491d9";"56790f2938802daa";"91449";"Wed Jul  8 23:52:52 2020"
"benelog Betriebs GmbH Herzogenrath";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"30.11.2010";"92%";"0d747c0b2dd5781887ce3d83356491d9";"a7418b70e3138f29";"91449";"Wed Jul  8 23:52:52 2020"
"benelog GmbH & Co. KG Herzogenrath";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"21.07.2010";"92%";"0d747c0b2dd5781887ce3d83356491d9";"971526eea63aedfc";"91449";"Wed Jul  8 23:52:52 2020"
"benelog Betriebs GmbH Herzogenrath";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"25.08.2009";"92%";"0d747c0b2dd5781887ce3d83356491d9";"1aff7bf63d24f509";"91449";"Wed Jul  8 23:52:52 2020"
"benelog GmbH & Co. KG Herzogenrath";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"25.08.2009";"92%";"0d747c0b2dd5781887ce3d83356491d9";"e04a2f3002a9c36c";"91449";"Wed Jul  8 23:52:52 2020"
"Benelog GmbH & Co. KG Herzogenrath";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"12.01.2009";"92%";"0d747c0b2dd5781887ce3d83356491d9";"1931d1e4e6b18f6a";"91449";"Wed Jul  8 23:52:52 2020"
"Benelog Betriebs GmbH Herzogenrath";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"09.01.2009";"92%";"0d747c0b2dd5781887ce3d83356491d9";"d009b7256c17769c";"91449";"Wed Jul  8 23:52:52 2020"
"Benelog Betriebs GmbH Herzogenrath";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"30.01.2008";"92%";"0d747c0b2dd5781887ce3d83356491d9";"13e0678f5c7cc7b5";"91449";"Wed Jul  8 23:52:52 2020"
"Benelog GmbH & Co.KG Herzogenrath";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"25.01.2008";"92%";"0d747c0b2dd5781887ce3d83356491d9";"7612c43d08217bea";"91449";"Wed Jul  8 23:52:52 2020"
