"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Bodelschwingh-Haus Wolmirstedt Behindertenhilfe gemeinnützige GmbH Wolmirstedt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"27.02.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"221d6840e1486c99";"09913";"Wed Jul  8 23:04:53 2020"
"Bodelschwingh- Hospiz GmbH ""Haus Franz"" Viersen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"27.02.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"5909e91e04f8a8dd";"09913";"Wed Jul  8 23:04:53 2020"
"Haus Bodelschwingh gGmbH Viersen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"12.02.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"9c3a11df0bbfa281";"09913";"Wed Jul  8 23:04:53 2020"
"Haus Bodelschwingh gGmbH Viersen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"12.03.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"14374309439cc9c3";"09913";"Wed Jul  8 23:04:53 2020"
"Bodelschwingh- Hospiz GmbH ""Haus Franz"" Viersen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"14.02.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"6e8d2e7cf848cfed";"09913";"Wed Jul  8 23:04:53 2020"
"Bodelschwingh-Haus Wolmirstedt Behindertenhilfe gemeinnützige GmbH Wolmirstedt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"16.10.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"15742c0ed0c77b6f";"09913";"Wed Jul  8 23:04:53 2020"
"Bodelschwingh- Hospiz GmbH ""Haus Franz"" Viersen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"07.03.2018";"92%";"0d747c0b2dd5781887ce3d83356491d9";"1e91013ec95a3a39";"09913";"Wed Jul  8 23:04:53 2020"
"Bodelschwingh-Haus Wolmirstedt Behindertenhilfe gemeinnützige GmbH (vormals: Bodelschwingh-Haus
                                       Wolmirstedt Werkstatt für behinderte Menschen gemeinnützige GmbH) Wolmirstedt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"28.12.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"27064e3c8e0a5503";"09913";"Wed Jul  8 23:04:53 2020"
"Haus Bodelschwingh gGmbH Viersen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"19.12.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"ac6505c90710e5cd";"09913";"Wed Jul  8 23:04:53 2020"
"Bodelschwingh- Hospiz GmbH ""Haus Franz"" Viersen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"23.01.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"af77a7d242a15293";"09913";"Wed Jul  8 23:04:53 2020"
