"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Bau- und Wohngenossenschaft Brachvogel eG. Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2018 bis zum 30.06.2019";"17.03.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"15d422184d6f8c47";"53604";"Wed Jul  8 23:21:32 2020"
"Bau- und Wohngenossenschaft Brachvogel eG. Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2017 bis zum 30.06.2018";"17.12.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"b512c992bf39a598";"53604";"Wed Jul  8 23:21:32 2020"
"Bau- und Wohngenossenschaft Brachvogel eG. Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2016 bis zum 30.06.2017";"09.02.2018";"83%";"0d747c0b2dd5781887ce3d83356491d9";"54a1a5b51317e742";"53604";"Wed Jul  8 23:21:32 2020"
"Bau- und Wohngenossenschaft Brachvogel eG. Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2015 bis zum 30.06.2016";"30.11.2016";"83%";"0d747c0b2dd5781887ce3d83356491d9";"907072389409e648";"53604";"Wed Jul  8 23:21:32 2020"
"Bau- und Wohngenossenschaft Brachvogel eG. Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2014 bis zum 30.06.2015";"29.11.2016";"83%";"0d747c0b2dd5781887ce3d83356491d9";"c81956313af7a79b";"53604";"Wed Jul  8 23:21:32 2020"
"Bau- und Wohngenossenschaft Brachvogel eG. Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2013 bis zum 30.06.2014";"03.06.2015";"83%";"0d747c0b2dd5781887ce3d83356491d9";"0a822c6cc1baacf4";"53604";"Wed Jul  8 23:21:32 2020"
"Bau- und Wohngenossenschaft Brachvogel eG. Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2012 bis zum 30.06.2013";"18.02.2014";"83%";"0d747c0b2dd5781887ce3d83356491d9";"0f7d9c9dd378761b";"53604";"Wed Jul  8 23:21:32 2020"
"So - Watt! Solarstrom GmbH & Co KG Brachvogel Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010 Berichtigung der Veröffentlichung vom 18.03.2013";"24.10.2013";"83%";"0d747c0b2dd5781887ce3d83356491d9";"cf4705937b30c3a0";"53604";"Wed Jul  8 23:21:32 2020"
"Bau- und Wohngenossenschaft Brachvogel eG. Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2011 bis zum 30.06.2012";"26.06.2013";"83%";"0d747c0b2dd5781887ce3d83356491d9";"3f021a027fa7ad1d";"53604";"Wed Jul  8 23:21:32 2020"
"So - Watt! Solarstrom GmbH & Co KG Brachvogel Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"21.03.2013";"83%";"0d747c0b2dd5781887ce3d83356491d9";"2c8deecb602543f1";"53604";"Wed Jul  8 23:21:32 2020"
