"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"comundus REGISAFE GmbH Waiblingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"14.01.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"a428928ace774c0c";"61413";"Wed Jul  8 23:42:36 2020"
"comundus consulting GmbH Waiblingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"27.12.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"0c9951579349aef2";"61413";"Wed Jul  8 23:42:36 2020"
"comundus Holding GmbH Waiblingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"02.12.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"7fdb7d3c205bbd24";"61413";"Wed Jul  8 23:42:36 2020"
"comundus GmbH Waiblingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"27.11.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"dd2b6b6a4cb60622";"61413";"Wed Jul  8 23:42:36 2020"
"comundus REGISAFE GmbH Waiblingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"30.10.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"c54e3831d8b35aaa";"61413";"Wed Jul  8 23:42:36 2020"
"comundus GmbH Waiblingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"29.10.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"d6e363bcb16fd324";"61413";"Wed Jul  8 23:42:36 2020"
"comundus Holding GmbH (vormals: forwerts GmbH) Waiblingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"26.10.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"6e966dd323260411";"61413";"Wed Jul  8 23:42:36 2020"
"comundus REGISAFE GmbH (vormals: comundus regis GmbH) Waiblingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.05.2016 bis zum 31.12.2016";"09.01.2018";"92%";"0d747c0b2dd5781887ce3d83356491d9";"57bf2f753db4c8bc";"61413";"Wed Jul  8 23:42:36 2020"
"comundus consulting GmbH Waiblingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"05.01.2018";"92%";"0d747c0b2dd5781887ce3d83356491d9";"034b2994f53ad4e7";"61413";"Wed Jul  8 23:42:36 2020"
"comundus GmbH Waiblingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"21.12.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"3ef6f8ebd10bd99e";"61413";"Wed Jul  8 23:42:36 2020"
"comundus Holding GmbH Waiblingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"19.12.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"859edaf91a4ff8bd";"61413";"Wed Jul  8 23:42:36 2020"
"comundus consulting GmbH (vormals: forwerts consulting GmbH) Waiblingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"10.01.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"6788f033e99f6d70";"61413";"Wed Jul  8 23:42:36 2020"
"comundus GmbH (vormals: forwerts solutions GmbH) Waiblingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"04.11.2016";"92%";"0d747c0b2dd5781887ce3d83356491d9";"8e06217c8bffd04a";"61413";"Wed Jul  8 23:42:36 2020"
"comundus Holding GmbH (vormals: IT EXCELLENCE Group GmbH) Waiblingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"03.11.2016";"92%";"0d747c0b2dd5781887ce3d83356491d9";"7109ebb8106c41e9";"61413";"Wed Jul  8 23:42:36 2020"
"comundus consulting GmbH Waiblingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"15.12.2015";"92%";"0d747c0b2dd5781887ce3d83356491d9";"b6d8772d02675f70";"61413";"Wed Jul  8 23:42:36 2020"
"comundus GmbH (vormals: forwerts solutions GmbH) Waiblingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"03.12.2015";"92%";"0d747c0b2dd5781887ce3d83356491d9";"c7a0a0db95d74384";"61413";"Wed Jul  8 23:42:36 2020"
"comundus Holding GmbH (vormals: forwerts GmbH) Waiblingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"27.11.2015";"92%";"0d747c0b2dd5781887ce3d83356491d9";"386fd989d04031aa";"61413";"Wed Jul  8 23:42:36 2020"
"comundus GmbH Waiblingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"17.07.2014";"92%";"0d747c0b2dd5781887ce3d83356491d9";"de813f577fac7fe5";"61413";"Wed Jul  8 23:42:36 2020"
"comundus GmbH Waiblingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"08.01.2014";"92%";"0d747c0b2dd5781887ce3d83356491d9";"d4ce58aaeec5c7bd";"61413";"Wed Jul  8 23:42:36 2020"
"Comundus Reisen und Events GmbH Düsseldorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2012 bis zum 31.03.2013";"02.01.2014";"92%";"0d747c0b2dd5781887ce3d83356491d9";"bb6ea60fbdc2c63b";"61413";"Wed Jul  8 23:42:36 2020"
