"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"datom Gesellschaft für produktive Computergemeinschaften mbH Dresden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"23.01.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"3fdb3215c3ddff0d";"91243";"Wed Jul  8 23:50:39 2020"
"datom Gesellschaft für produktive Computergemeinschaften mbH Dresden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"08.02.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"996d350d60da8d1c";"91243";"Wed Jul  8 23:50:39 2020"
"datom Gesellschaft für produktive Computergemeinschaften mbH Dresden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"14.03.2018";"98%";"0d747c0b2dd5781887ce3d83356491d9";"2e5937e8391eb0b1";"91243";"Wed Jul  8 23:50:39 2020"
"datom Gesellschaft für produktive Computergemeinschaften mbH Dresden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"27.01.2017";"98%";"0d747c0b2dd5781887ce3d83356491d9";"0536f921c1f1460a";"91243";"Wed Jul  8 23:50:39 2020"
"datom Gesellschaft für produktive Computergemeinschaften mbH Dresden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"04.02.2016";"98%";"0d747c0b2dd5781887ce3d83356491d9";"24a1998dfcfb9bc7";"91243";"Wed Jul  8 23:50:39 2020"
"datom Gesellschaft für produktive Computergemeinschaften mbH Dresden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"09.02.2015";"98%";"0d747c0b2dd5781887ce3d83356491d9";"78594871a49b86f4";"91243";"Wed Jul  8 23:50:39 2020"
"datom Gesellschaft für produktive Computergemeinschaften mbH Dresden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"24.01.2014";"98%";"0d747c0b2dd5781887ce3d83356491d9";"dd14568c15fd3867";"91243";"Wed Jul  8 23:50:39 2020"
"datom Gesellschaft für produktive Computergemeinschaften mbH Dresden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"24.01.2013";"98%";"0d747c0b2dd5781887ce3d83356491d9";"5c56ed30614996c0";"91243";"Wed Jul  8 23:50:39 2020"
"datom Gesellschaft für produktive Computergemeinschaften mbH Dresden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"11.01.2012";"98%";"0d747c0b2dd5781887ce3d83356491d9";"d69e80752f9caf5a";"91243";"Wed Jul  8 23:50:39 2020"
"datom Gesellschaft für produktive Computergemeinschaften mbH Dresden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"28.01.2011";"98%";"0d747c0b2dd5781887ce3d83356491d9";"b1a0c11e5d3ca204";"91243";"Wed Jul  8 23:50:39 2020"
"datom Gesellschaft für produktive Computergemeinschaften mbH Dresden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"28.10.2009";"98%";"0d747c0b2dd5781887ce3d83356491d9";"46e85a537b4d96ed";"91243";"Wed Jul  8 23:50:39 2020"
"datom Gesellschaft für produktive Computergemeinschaften mbH Dresden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"21.11.2008";"98%";"0d747c0b2dd5781887ce3d83356491d9";"213853a78fee02b9";"91243";"Wed Jul  8 23:50:39 2020"
