"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"DRINK DEPARTMENT ONE GMBH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"29.01.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"16f001695ff91c0b";"21740";"Wed Jul  8 23:25:52 2020"
"department one GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"08.01.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"3fbeab7a73dd8c2c";"21740";"Wed Jul  8 23:25:52 2020"
"department one GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"12.03.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"59908813041ccc89";"21740";"Wed Jul  8 23:25:52 2020"
"DRINK DEPARTMENT ONE GMBH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"10.01.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"4605f2886c12faef";"21740";"Wed Jul  8 23:25:52 2020"
"department one GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"07.02.2018";"95%";"0d747c0b2dd5781887ce3d83356491d9";"58a632975c26f1f2";"21740";"Wed Jul  8 23:25:52 2020"
"department one GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"23.08.2016";"95%";"0d747c0b2dd5781887ce3d83356491d9";"9cd048d8aa3a092b";"21740";"Wed Jul  8 23:25:52 2020"
"department one GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"02.12.2015";"95%";"0d747c0b2dd5781887ce3d83356491d9";"d8494a0ca5f9461e";"21740";"Wed Jul  8 23:25:52 2020"
"department one GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"12.11.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"829b22db3e4e394e";"21740";"Wed Jul  8 23:25:52 2020"
"department one GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"10.09.2013";"95%";"0d747c0b2dd5781887ce3d83356491d9";"76dce8fe8eafbb6b";"21740";"Wed Jul  8 23:25:52 2020"
"department one GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"25.01.2013";"95%";"0d747c0b2dd5781887ce3d83356491d9";"3c583a5286f02a98";"21740";"Wed Jul  8 23:25:52 2020"
