"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"develop4edu GmbH Stuttgart";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019 Ernst Klett Aktiengesellschaft (Stuttgart)";"13.02.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"a9f55f33550a6822";"18163";"Thu Jul  9 00:01:05 2020"
"develop4edu GmbH Stuttgart";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018 Ernst Klett Aktiengesellschaft (Stuttgart)";"25.02.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"1fe14a51ab0fec2e";"18163";"Thu Jul  9 00:01:05 2020"
"Ernst Klett Aktiengesellschaft Stuttgart";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"08.01.2020";"0d747c0b2dd5781887ce3d83356491d9";"1fe14a51ab0fec2e";"18163";"Thu Jul  9 00:01:05 2020";"";""
"develop4edu GmbH Stuttgart";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017 Ernst Klett Aktiengesellschaft (Stuttgart)";"21.03.2018";"92%";"0d747c0b2dd5781887ce3d83356491d9";"ea2bdb004b8b7471";"18163";"Thu Jul  9 00:01:05 2020"
"Ernst Klett Aktiengesellschaft Stuttgart";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"17.01.2019";"0d747c0b2dd5781887ce3d83356491d9";"ea2bdb004b8b7471";"18163";"Thu Jul  9 00:01:05 2020";"";""
"develop4edu GmbH Stuttgart";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016 Ernst Klett Aktiengesellschaft (Stuttgart)";"23.02.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"faf09b89dc297c9e";"18163";"Thu Jul  9 00:01:05 2020"
"Ernst Klett Aktiengesellschaft Stuttgart";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"15.01.2018";"0d747c0b2dd5781887ce3d83356491d9";"faf09b89dc297c9e";"18163";"Thu Jul  9 00:01:05 2020";"";""
"develop4edu GmbH Stuttgart";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015 Ernst Klett Aktiengesellschaft (Stuttgart)";"29.02.2016";"92%";"0d747c0b2dd5781887ce3d83356491d9";"7f4fc2366f553bed";"18163";"Thu Jul  9 00:01:05 2020"
"Ernst Klett Aktiengesellschaft Stuttgart";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"19.01.2017";"0d747c0b2dd5781887ce3d83356491d9";"7f4fc2366f553bed";"18163";"Thu Jul  9 00:01:05 2020";"";""
"develop4edu GmbH Stuttgart";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014 Ernst Klett Aktiengesellschaft (Stuttgart)";"20.03.2015";"92%";"0d747c0b2dd5781887ce3d83356491d9";"26dbe65ac20d4414";"18163";"Thu Jul  9 00:01:05 2020"
